# VP04   2013-02-22_16-09-41
# Elapsed time of measurement: 174 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 81,  14,  3, 1,   18.37,   -5.71,  -19.91,   -2.39,  -25.80,   -2.32,    0.37,    1.84
 85,  14,  4, 1,   18.23,   -5.65,  -19.86,   -5.73,  -40.96,   -1.72,    0.23,    1.95
 29,  14,  5, 1,   18.19,   -5.62,  -19.73,  -20.56,  -52.66,   -3.10,    0.12,    2.06
 17,  28,  6, 1,   18.11,   -4.98,  -19.99,   13.09,   20.00,    0.48,    0.28,    1.90
 71,  28,  7, 1,   18.41,   -5.79,  -19.68,  -21.61,  -33.31,   -4.21,    0.06,    1.95
  1,  28,  8, 1,   18.17,   -5.60,  -19.76,  -14.56,  -34.80,   -2.43,    0.34,    2.03
 56,  28,  9, 1,   18.34,   -5.58,  -19.81,  -12.29,  -35.96,   -3.00,    0.04,    1.74
 12,  28, 10, 1,   18.14,   -4.87,  -20.00,   14.10,  -12.66,    0.03,    0.20,    1.94
 45,  56, 11, 1,   18.39,   -5.50,  -19.94,   -4.48,   -3.00,   -2.69,    0.39,    1.58
 13,  56, 12, 1,   18.32,   -5.20,  -19.84,   -8.84,  -13.31,   -2.67,    0.11,    1.98
  8,  56, 13, 1,   18.20,   -5.33,  -19.97,    2.90,    2.20,   -1.21,    0.74,    1.44
  2,  56, 14, 1,   18.08,   -5.65,  -19.79,  -14.60,  -14.96,   -2.01,    0.10,    1.63
 70,  56, 15, 1,   18.30,   -5.77,  -19.79,  -11.42,  -21.66,   -2.58,    0.07,    1.66
  5,   0, 16, 1,   18.24,   -5.59,  -19.90,   -7.27,   -5.70,   -2.14,    0.07,    1.65
 40,   0, 17, 1,   18.34,   -5.55,  -19.94,   -2.43,   -5.70,   -2.13,    0.08,    1.85
 65,  14,  1, 1,   18.16,   -5.32,  -19.98,    7.99,   12.00,   -0.26,    0.12,    2.11
  9,  14,  2, 1,   18.23,   -5.19,  -19.99,    5.85,  -14.31,   -1.06,    0.78,    2.31
 53,  14,  3, 1,   18.38,   -5.48,  -19.87,   -3.31,  -25.80,   -2.36,    0.16,    1.80
 69,  14,  4, 1,   18.31,   -5.55,  -19.92,   -4.40,  -40.96,   -2.05,    0.11,    2.00
 39,  14,  5, 1,   18.26,   -5.77,  -19.69,  -18.91,  -52.66,   -3.09,    0.24,    2.58
 78,  28,  6, 1,   18.10,   -5.37,  -20.02,   14.08,   20.00,    0.41,    0.25,    1.75
 48,  28,  7, 1,   18.26,   -5.91,  -19.67,  -20.74,  -33.31,   -3.21,    0.19,    1.80
 34,  28,  8, 1,   18.16,   -5.17,  -19.77,  -13.21,  -34.80,   -2.51,    0.29,    1.77
 37,  28,  9, 1,   18.19,   -5.60,  -19.75,  -16.26,  -35.96,   -2.58,    0.11,    3.16
 59,  28, 10, 1,   17.98,   -5.47,  -19.91,    7.11,  -12.66,    0.72,    0.15,    2.63
 26,  56, 11, 1,   18.10,   -5.23,  -19.85,   -6.70,   -3.00,   -1.11,    0.12,    1.73
 43,  56, 12, 1,   18.30,   -5.55,  -19.89,   -6.83,  -13.31,   -2.14,    0.07,    2.00
 25,  56, 13, 1,   18.21,   -5.06,  -19.93,    1.10,    2.20,   -1.09,    0.10,    1.64
 55,  56, 14, 1,   18.33,   -5.51,  -19.86,   -6.37,  -14.96,   -2.33,    0.10,    1.94
 73,  56, 15, 1,   18.24,   -5.46,  -19.83,   -9.91,  -21.66,   -2.50,    0.10,    1.96
 76,   0, 16, 1,   18.37,   -5.62,  -19.77,  -13.63,   -5.70,   -3.43,    0.34,    2.07
 72,   0, 17, 1,   18.34,   -5.58,  -19.86,   -6.42,   -5.70,   -2.52,    0.19,    1.85
