# VP12   2013-02-28_13-06-30
# Elapsed time of measurement: 340 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 43,  14,  1, 1,   17.81,    1.32,  -22.22,   23.27,   19.00,    2.25,    0.15,    3.06
 27,  14,  2, 1,   17.06,    6.46,  -22.23,   22.74, -152.00,    1.72,    0.09,    4.08
  7,  14,  3, 1,   17.03,    7.01,  -22.17,    4.87, -167.57,    1.03,    0.44,    2.39
 73,  14,  4, 1,   19.75,   -5.98,  -21.61,   -1.59, -156.43,   -2.05,    0.31,    6.78
  5,  14,  5, 1,   16.84,    6.90,  -22.21,  -16.66, -216.04,   -1.52,    0.52,    3.68
 30,  28,  6, 1,   16.60,    6.28,  -22.35,    1.52,    0.00,    2.13,    0.42,    5.52
 19,  28,  7, 1,   17.06,    6.44,  -22.33,   14.45, -164.00,    0.60,    0.17,    2.86
  2,  28,  8, 1,   17.46,    6.63,  -22.17,   12.05, -160.57,   -0.98,    0.51,    3.14
 42,  28,  9, 1,   17.70,    1.18,  -22.20,    1.66, -175.43,    0.40,    0.37,    2.83
 68,  28, 10, 1,   19.62,   -5.72,  -21.66,    5.12, -154.04,   -0.34,    0.25,    2.94
 58,  56, 11, 1,   17.60,    0.32,  -21.99,  -11.48,  -11.00,   -1.09,    0.16,    2.78
 13,  56, 12, 1,   16.86,    6.48,  -22.23,   -7.68, -188.00,    0.35,    0.29,    3.41
 20,  56, 13, 1,   16.73,    6.66,  -22.25,   -8.46, -180.57,    0.06,    0.14,    3.22
 33,  56, 14, 1,   16.85,    6.31,  -22.26,   22.28, -140.43,    2.69,    0.49,    6.14
 46,  56, 15, 1,   17.68,    1.14,  -22.21,   17.33, -140.04,    2.13,    0.30,    5.19
 21,   0, 16, 1,   16.62,    6.65,  -22.29,   -1.66,   -5.70,    1.71,    0.11,    2.94
  3,   0, 17, 1,   16.92,    6.79,  -22.24,   -7.30,   -5.70,    0.19,    0.19,    2.58
 65,  14,  1, 1,   19.54,   -5.73,  -21.77,   20.45,   19.00,    1.98,    0.11,    4.32
  1,  14,  2, 1,   17.60,    6.78,  -22.22,   25.97, -152.00,   -0.61,    0.25,    3.41
 48,  14,  3, 1,   17.61,    1.29,  -22.14,    5.90, -167.57,    1.64,    0.38,    3.94
 12,  14,  4, 1,   16.93,    6.62,  -22.31,   -1.44, -156.43,    0.72,    0.57,    4.58
 51,  14,  5, 1,   17.59,    0.96,  -21.83,   -5.39, -216.04,   -0.28,    0.53,   12.14
 72,  28,  6, 1,   19.78,   -5.78,  -21.61,    1.20,    0.00,   -1.88,    0.18,    4.48
 17,  28,  7, 1,   17.03,    6.69,  -22.30,   14.41, -164.00,    1.21,    0.19,    3.81
 54,  28,  8, 1,   17.60,    0.51,  -22.07,    9.42, -160.57,    2.62,    0.35,    3.11
 71,  28,  9, 1,   19.87,   -5.76,  -21.62,    1.17, -175.43,   -2.42,    0.37,    4.05
  4,  28, 10, 1,   16.86,    6.86,  -22.19,    3.43, -154.04,    1.70,    0.24,    2.12
 66,  56, 11, 1,   19.83,   -5.66,  -21.53,   -9.32,  -11.00,   -3.70,    0.26,    3.14
 45,  56, 12, 1,   17.64,    1.23,  -22.21,   -9.69, -188.00,   -1.12,    0.42,    3.47
