# VP03   2013-02-26_14-01-25
# Elapsed time of measurement: 266 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
  4,  14,  3, 1,   19.17,   -2.65,  -19.06,    6.43,    2.25,    0.26,    0.20,    2.06
 85,  14,  4, 1,   19.09,   -2.31,  -18.85,   -5.97,   -5.99,   -0.72,    0.04,    3.31
 28,  14,  5, 1,   18.80,   -2.55,  -18.77,  -16.18,  -15.10,   -0.98,    0.12,    3.71
 32,  28,  6, 1,   19.51,   -2.25,  -19.09,   19.90,   20.00,    0.34,    0.02,    3.21
 46,  28,  7, 1,   19.03,   -2.52,  -18.85,   -7.87,  -11.40,   -0.75,    0.24,    2.76
 20,  28,  8, 1,   19.02,   -2.70,  -18.82,  -16.23,  -18.75,   -2.29,    0.05,    3.95
 29,  28,  9, 1,   18.88,   -2.54,  -18.81,  -12.69,  -12.99,   -0.95,    0.09,    2.65
 66,  28, 10, 1,   19.24,   -2.41,  -18.99,    6.03,    6.90,    0.11,    0.04,    3.82
 65,  56, 11, 1,   19.02,   -2.48,  -18.89,   -4.00,   -3.00,   -0.08,    0.05,    3.59
 40,  56, 12, 1,   19.08,   -2.33,  -18.88,   -3.85,   -4.40,   -0.55,    0.09,    2.83
 62,  56, 13, 1,   19.26,   -2.33,  -19.00,    8.22,    8.25,    0.36,    0.05,    3.62
 74,  56, 14, 1,   19.09,   -2.42,  -18.88,   -6.51,   -7.99,   -0.76,    0.05,    3.44
  1,  56, 15, 1,   18.88,   -3.03,  -18.83,  -18.02,  -20.10,   -1.06,    0.13,    3.48
 56,   0, 16, 1,   18.94,   -2.57,  -18.87,   -7.35,   -5.70,   -0.14,    0.06,    1.61
 31,   0, 17, 1,   19.02,   -2.56,  -18.90,   -5.31,   -5.70,   -0.57,    0.12,    1.58
 82,  14,  1, 1,   19.50,   -2.16,  -19.03,   13.17,   12.00,   -0.10,    0.08,    2.78
 14,  14,  2, 1,   19.20,   -2.50,  -19.00,    2.84,    4.60,   -0.31,    0.07,    2.83
 43,  14,  3, 1,   19.18,   -2.41,  -18.93,    1.74,    2.25,   -0.36,    0.13,    1.72
 63,  14,  4, 1,   18.98,   -2.49,  -18.88,   -5.99,   -5.99,   -0.15,    0.11,    3.95
 58,  14,  5, 1,   18.77,   -2.75,  -18.73,  -17.39,  -15.10,   -0.73,    0.10,    2.60
  9,  28,  6, 1,   19.39,   -2.59,  -19.12,   17.73,   20.00,    0.05,    0.05,    3.28
 17,  28,  7, 1,   18.97,   -2.71,  -18.85,  -11.90,  -11.40,   -1.14,    0.10,    1.55
 84,  28,  8, 1,   18.89,   -2.48,  -18.71,  -17.53,  -18.75,   -1.50,    0.10,    3.93
  7,  28,  9, 1,   18.85,   -2.84,  -18.87,  -11.52,  -12.99,   -0.05,    0.13,    2.72
 68,  28, 10, 1,   19.34,   -2.32,  -19.01,    7.92,    6.90,   -0.08,    0.10,    3.60
 75,  56, 11, 1,   19.17,   -2.30,  -18.92,   -1.27,   -3.00,   -0.36,    0.10,    2.39
 26,  56, 12, 1,   18.95,   -2.25,  -18.84,   -3.77,   -4.40,    0.10,    0.10,    3.92
 60,  56, 13, 1,   19.21,   -2.46,  -18.99,    5.86,    8.25,    0.17,    0.06,    3.78
 80,  56, 14, 1,   19.13,   -2.23,  -18.84,   -4.75,   -7.99,   -0.82,    0.10,    2.60
 18,  56, 15, 1,   19.02,   -2.79,  -18.80,  -19.78,  -20.10,   -2.74,    0.17,    4.37
 59,   0, 16, 1,   18.95,   -2.54,  -18.84,   -7.64,   -5.70,   -0.37,    0.10,    2.72
 49,   0, 17, 1,   19.07,   -2.57,  -18.89,   -6.07,   -5.70,   -0.83,    0.14,    2.96
