# VP02   2013-02-28_10-44-32
# Elapsed time of measurement: 273 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 65,  14,  1, 1,   19.78,    2.51,  -24.05,    5.68,   13.00,    0.10,    0.25,    3.04
 34,  14,  2, 1,   19.27,    2.25,  -24.05,  -11.64,   -1.00,   -0.60,    0.13,    2.56
 42,  14,  3, 1,   19.20,    2.60,  -23.97,   -9.89,    8.00,   -0.24,    0.22,    1.82
 78,  14,  4, 1,   18.90,    2.38,  -23.89,  -21.25,    7.00,   -0.72,    0.32,    2.05
 28,  14,  5, 1,   19.13,    2.62,  -23.94,  -13.56,   22.00,   -1.14,    0.04,    2.29
 29,  14,  6, 1,   19.45,    2.70,  -24.03,    0.73,   30.00,   -0.07,    0.21,    2.73
 57,  28,  7, 1,   19.17,    2.47,  -24.06,   -7.42,   -9.00,    0.13,    0.62,    1.66
  5,  28,  8, 1,   18.93,    3.16,  -23.85,  -11.30,    2.00,   -0.44,    0.35,    1.82
  1,  28,  9, 1,   18.99,    3.21,  -23.81,  -11.41,   12.00,   -0.83,    0.20,    2.03
 92,  28, 10, 1,   18.67,    1.69,  -23.82,  -32.80,   -5.00,   -2.35,    0.40,    2.37
 69,  28, 11, 1,   19.01,    2.35,  -23.89,  -25.48,   12.00,   -2.27,    0.40,    1.53
 60,  28, 12, 1,   19.01,    2.33,  -23.93,  -22.70,   24.00,   -1.66,    0.38,    2.62
 66,  56, 13, 1,   19.17,    2.51,  -23.97,  -14.05,   -6.00,   -0.47,    0.48,    2.13
 50,  56, 14, 1,   19.10,    2.61,  -24.03,  -13.23,    1.00,   -0.35,    0.30,    2.85
 85,  56, 15, 1,   19.30,    1.84,  -24.12,  -11.35,    9.00,   -0.39,    0.29,    1.65
 48,  56, 16, 1,   19.10,    2.70,  -23.92,  -14.57,   15.00,   -0.77,    0.19,    1.86
 30,  56, 17, 1,   18.49,    2.27,  -23.75,  -42.44,   -4.00,   -4.53,    0.10,    2.91
 40,  56, 18, 1,   18.81,    2.29,  -23.92,  -27.81,   13.00,   -1.82,    0.27,    3.74
 44,   0, 19, 1,   19.16,    2.57,  -24.00,  -11.11,   -5.70,   -0.32,    0.05,    3.24
 18,   0, 20, 1,   18.98,    2.94,  -23.90,  -11.46,   -5.70,   -0.29,    0.08,    3.54
 49,  14,  1, 1,   19.87,    2.71,  -24.06,   10.69,   13.00,   -0.02,    0.16,    2.46
 12,  14,  2, 1,   19.07,    3.19,  -23.83,   -8.73,   -1.00,   -0.53,    0.08,    4.19
 20,  14,  3, 1,   19.15,    2.61,  -23.99,   -8.91,    8.00,   -0.48,    0.17,    4.60
 55,  14,  4, 1,   19.14,    2.28,  -24.05,  -14.83,    7.00,   -0.33,    0.09,    2.24
 96,  14,  5, 1,   18.91,    1.92,  -23.92,  -11.01,   22.00,   -0.34,    0.35,    2.08
 45,  14,  6, 1,   19.59,    2.70,  -24.01,   -0.59,   30.00,   -0.50,    0.23,    4.71
 51,  28,  7, 1,   19.26,    2.59,  -23.87,  -12.09,   -9.00,   -1.02,    0.19,    2.80
 77,  28,  8, 1,   19.15,    2.49,  -23.98,  -11.28,    2.00,   -0.08,    0.18,    1.73
 58,  28,  9, 1,   19.37,    2.46,  -24.02,   -3.87,   12.00,   -0.15,    0.25,    2.43
 22,  28, 10, 1,   18.64,    2.56,  -23.78,  -31.75,   -5.00,   -3.00,    0.10,    3.43
 86,  28, 11, 1,   19.17,    1.91,  -23.93,  -26.32,   12.00,   -2.61,    0.25,    2.59
 47,  28, 12, 1,   18.95,    2.54,  -23.89,  -20.32,   24.00,   -1.07,    0.17,    2.73
 10,  56, 13, 1,   19.14,    3.10,  -23.87,   -6.18,   -6.00,   -0.38,    0.23,    2.48
  6,  56, 14, 1,   19.04,    3.19,  -23.84,   -8.79,    1.00,   -0.45,    0.18,    2.16
 89,  56, 15, 1,   19.36,    2.19,  -24.05,   -9.19,    9.00,   -0.48,    0.37,    2.39
 93,  56, 16, 1,   19.09,    1.90,  -24.02,   -7.74,   15.00,    0.04,    0.16,    2.15
 74,  56, 17, 1,   18.69,    2.08,  -23.79,  -42.12,   -4.00,   -4.68,    0.38,    2.88
100,  56, 18, 1,   18.70,    1.89,  -23.78,  -29.90,   13.00,   -3.03,    0.50,    2.70
  4,   0, 19, 1,   18.98,    3.23,  -23.86,   -9.96,   -5.70,   -0.44,    0.04,    1.71
 72,   0, 20, 1,   19.36,    2.30,  -24.07,   -7.73,   -5.70,   -0.12,    0.04,    1.89
 23,  14,  1, 1,   19.77,    2.45,  -24.07,   15.14,   13.00,    0.20,    0.24,    3.40
 99,  14,  2, 1,   19.00,    2.15,  -23.94,   -9.28,   -1.00,   -0.72,    0.23,    2.69
 98,  14,  3, 1,   18.91,    2.14,  -24.00,   -9.91,    8.00,   -0.31,    0.25,    2.60
 88,  14,  4, 1,   19.16,    2.09,  -23.95,  -20.78,    7.00,   -1.88,    0.32,    2.62
 87,  14,  5, 1,   19.34,    2.09,  -24.06,   -8.17,   22.00,   -0.34,    0.06,    2.34
 81,  14,  6, 1,   19.49,    2.53,  -24.01,   -5.69,   30.00,   -0.36,    0.17,    3.89
 14,  28,  7, 1,   19.03,    2.97,  -23.89,  -10.06,   -9.00,   -0.41,    0.22,    3.26
 19,  28,  8, 1,   19.04,    3.06,  -23.92,   -7.09,    2.00,    0.21,    0.35,    5.97
 97,  28,  9, 1,   19.06,    2.04,  -23.97,   -4.10,   12.00,   -0.04,    0.29,    2.52
 67,  28, 10, 1,   18.84,    2.28,  -23.81,  -32.94,   -5.00,   -3.13,    0.30,    2.68
  2,  28, 11, 1,   18.59,    3.06,  -23.79,  -24.74,   12.00,   -1.84,    0.10,    2.22
 53,  28, 12, 1,   19.12,    2.27,  -23.94,  -17.05,   24.00,   -1.21,    0.18,    3.00
 43,  56, 13, 1,   19.37,    2.51,  -23.97,   -5.88,   -6.00,   -0.52,    0.27,    2.03
 35,  56, 14, 1,   19.25,    2.22,  -24.10,   -6.80,    1.00,    0.10,    0.31,    1.49
  8,  56, 15, 1,   18.92,    3.10,  -23.87,  -12.67,    9.00,   -0.43,    0.27,    2.50
 71,  56, 16, 1,   19.35,    2.33,  -23.94,  -12.47,   15.00,   -0.98,    0.34,    1.83
 79,  56, 17, 1,   18.41,    2.36,  -23.66,  -41.76,   -4.00,   -4.62,    0.31,    5.13
 39,  56, 18, 1,   18.79,    2.29,  -23.93,  -30.39,   13.00,   -2.53,    0.15,    2.38
 84,   0, 19, 1,   19.34,    2.16,  -24.06,  -12.16,   -5.70,   -0.85,    0.07,    1.99
 15,   0, 20, 1,   19.06,    3.04,  -23.91,   -9.33,   -5.70,   -0.45,    0.07,    3.56
 33,  14,  1, 1,   20.02,    2.21,  -24.08,   14.29,   13.00,   -0.98,    0.04,    3.37
 27,  14,  2, 1,   19.14,    2.64,  -24.05,   -7.21,   -1.00,    0.03,    0.18,    2.24
 70,  14,  3, 1,   19.26,    2.24,  -24.02,  -11.18,    8.00,   -0.13,    0.13,    2.28
 26,  14,  4, 1,   18.89,    2.69,  -23.91,  -21.82,    7.00,   -1.67,    0.21,    3.85
 56,  14,  5, 1,   19.15,    2.45,  -23.88,  -13.14,   22.00,   -0.88,    0.22,    3.91
  7,  14,  6, 1,   19.29,    3.23,  -23.91,   -1.56,   30.00,   -0.18,    0.12,    2.80
 31,  28,  7, 1,   19.04,    2.44,  -23.98,  -15.13,   -9.00,   -0.72,    0.14,    3.85
 21,  28,  8, 1,   19.09,    2.81,  -24.01,   -8.51,    2.00,   -0.12,    0.20,    3.99
 80,  28,  9, 1,   19.50,    2.51,  -24.02,   -4.14,   12.00,    0.06,    0.50,    1.91
 32,  28, 10, 1,   18.51,    2.28,  -23.85,  -35.24,   -5.00,   -2.96,    0.24,    2.84
 24,  28, 11, 1,   18.87,    2.54,  -23.93,  -25.45,   12.00,   -1.94,    0.31,    2.63
 59,  28, 12, 1,   19.14,    2.35,  -23.83,  -17.51,   24.00,   -1.41,    0.24,    2.58
 11,  56, 13, 1,   19.08,    3.08,  -23.82,  -10.31,   -6.00,   -0.79,    0.22,    2.53
 16,  56, 14, 1,   19.01,    3.04,  -23.82,  -12.08,    1.00,   -0.93,    0.34,    2.83
 38,  56, 15, 1,   19.21,    2.37,  -24.01,  -11.84,    9.00,   -0.60,    0.04,    2.34
 91,  56, 16, 1,   18.94,    1.98,  -23.96,  -13.05,   15.00,   -0.13,    0.41,    1.88
 52,  56, 17, 1,   18.56,    2.25,  -23.74,  -38.01,   -4.00,   -3.43,    0.35,    2.99
 36,  56, 18, 1,   18.86,    2.17,  -23.87,  -30.62,   13.00,   -2.80,    0.24,    2.12
 41,   0, 19, 1,   19.13,    2.56,  -24.01,  -11.33,   -5.70,   -0.28,    0.15,    2.87
 46,   0, 20, 1,   19.14,    2.68,  -23.98,  -12.07,   -5.70,   -0.26,    0.16,    2.07
 54,  14,  1, 1,   19.98,    2.25,  -24.05,   15.24,   13.00,   -0.16,    0.27,    3.08
 94,  14,  2, 1,   18.80,    1.82,  -24.04,  -10.60,   -1.00,   -0.11,    0.19,    4.96
 25,  14,  3, 1,   19.20,    2.74,  -24.04,   -6.49,    8.00,   -0.23,    0.32,    2.76
 73,  14,  4, 1,   18.98,    2.20,  -23.99,  -20.15,    7.00,   -0.63,    0.28,    1.99
 13,  14,  5, 1,   19.06,    2.79,  -23.89,  -10.25,   22.00,   -0.45,    0.24,    3.65
 95,  14,  6, 1,   19.02,    1.85,  -24.04,   -3.29,   30.00,    0.30,    0.23,    3.13
  9,  28,  7, 1,   18.91,    3.24,  -23.83,  -13.86,   -9.00,   -0.79,    0.19,    4.18
 76,  28,  8, 1,   19.16,    2.47,  -23.92,  -13.53,    2.00,   -0.55,    0.17,    1.56
 75,  28,  9, 1,   19.26,    2.47,  -23.97,  -10.68,   12.00,   -0.42,    0.12,    2.09
 68,  28, 10, 1,   18.94,    2.29,  -23.88,  -30.22,   -5.00,   -3.03,    0.42,    1.82
 82,  28, 11, 1,   19.19,    2.27,  -23.94,  -22.27,   12.00,   -2.21,    0.23,    2.12
 83,  28, 12, 1,   19.29,    2.19,  -23.96,  -11.79,   24.00,   -0.50,    0.43,    1.45
