# VP11   2013-02-26_17-33-27
# Elapsed time of measurement: 186 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 29,  14,  3, 1,   17.53,   -6.98,  -20.17,   -7.53,    9.00,   -1.60,    0.07,    1.69
 28,  14,  4, 1,   17.58,   -6.97,  -20.17,  -12.89,   15.00,   -2.53,    0.37,    1.39
 77,  14,  5, 1,   18.17,   -7.19,  -19.95,  -19.91,   18.00,   -7.98,    0.23,    1.79
 43,  28,  6, 1,   17.51,   -6.70,  -20.21,   -1.77,    0.00,   -1.28,    0.37,    1.88
 44,  28,  7, 1,   17.53,   -6.62,  -20.19,   -3.81,   10.00,   -1.56,    0.34,    1.72
 70,  28,  8, 1,   17.91,   -7.25,  -20.08,   -8.28,   18.00,   -4.70,    0.16,    2.18
  4,  28,  9, 1,   17.98,   -6.53,  -20.02,  -24.25,   13.00,   -6.68,    0.17,    1.92
 34,  28, 10, 1,   17.33,   -6.77,  -19.96,  -18.91,   29.00,   -3.37,    0.30,    2.25
 50,  56, 11, 1,   17.45,   -7.10,  -19.97,   -9.76,  -11.00,   -2.33,    0.19,    2.94
 84,  56, 12, 1,   18.03,   -7.20,  -19.89,  -19.72,  -13.00,   -6.98,    0.13,    4.27
 76,  56, 13, 1,   18.08,   -7.19,  -19.91,  -18.48,   -1.00,   -7.29,    0.29,    2.15
 75,  56, 14, 1,   18.02,   -7.20,  -20.11,   -4.55,   43.00,   -4.66,    0.18,    1.69
 52,  56, 15, 1,   17.42,   -7.03,  -20.08,   -5.66,   45.00,   -1.33,    0.08,    1.20
 17,   0, 16, 1,   17.60,   -6.59,  -20.23,   -5.31,   -5.70,   -2.03,    0.12,    2.20
 32,   0, 17, 1,   17.48,   -7.13,  -20.20,   -3.22,   -5.70,   -0.84,    0.12,    2.46
 37,  14,  1, 1,   17.37,   -5.94,  -20.18,   18.05,   19.00,    2.84,    0.18,    2.80
 81,  14,  2, 1,   17.78,   -7.31,  -20.13,   -1.87,   20.00,   -2.43,    0.24,    2.05
 72,  14,  3, 1,   17.89,   -7.20,  -20.08,   -8.06,    9.00,   -4.74,    0.09,    1.49
 11,  14,  4, 1,   17.81,   -6.56,  -20.47,   -6.11,   15.00,   -3.63,    0.50,    1.88
 27,  14,  5, 1,   17.43,   -7.25,  -20.04,  -16.83,   18.00,   -2.92,    0.20,    1.94
 68,  28,  6, 1,   17.95,   -7.18,  -20.07,   -8.49,    0.00,   -4.99,    0.12,    1.90
  6,  28,  7, 1,   17.36,   -6.41,  -20.17,  -12.66,   10.00,   -1.85,    0.26,    2.32
 21,  28,  8, 1,   17.28,   -6.73,  -20.06,   -9.62,   18.00,   -1.13,    0.27,    1.62
  3,  28,  9, 1,   17.98,   -6.63,  -20.05,  -22.82,   13.00,   -6.41,    0.13,    2.32
 53,  28, 10, 1,   17.44,   -7.28,  -20.02,   -8.06,   29.00,   -1.95,    0.37,    1.75
 65,  56, 11, 1,   17.85,   -7.17,  -20.09,   -9.36,  -11.00,   -4.85,    0.31,    2.00
 10,  56, 12, 1,   17.46,   -6.95,  -20.11,  -10.31,  -13.00,   -1.96,    0.26,    1.73
 47,  56, 13, 1,   16.89,   -6.58,  -19.74,  -25.60,   -1.00,   -5.74,    0.92,    2.35
 41,  56, 14, 1,   17.43,   -6.59,  -20.22,   -0.40,   43.00,   -0.51,    0.12,    2.39
 71,  56, 15, 1,   17.86,   -7.22,  -20.11,   -8.10,   45.00,   -4.60,    0.13,    2.06
 49,   0, 16, 1,   17.43,   -7.33,  -20.08,   -5.15,   -5.70,   -0.81,    0.42,    4.01
 51,   0, 17, 1,   17.58,   -7.02,  -20.09,   -5.00,   -5.70,   -1.95,    0.11,    2.19
