# VP09   2013-02-28_11-34-45
# Elapsed time of measurement: 368 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 60,  14,  1, 1,   19.40,   -7.02,  -20.64,   16.94,   19.00,    3.87,    0.18,    4.05
 46,  14,  2, 1,   19.34,   -6.92,  -20.72,   13.57, -152.00,    2.76,    0.32,    2.66
  3,  14,  3, 1,   19.65,   -6.68,  -20.29,   -0.25, -167.57,    0.00,    0.32,    4.21
 48,  14,  4, 1,   19.07,   -7.18,  -20.31,  -25.21, -156.43,   -0.74,    0.23,    5.57
 82,  14,  5, 1,   19.11,   -6.28,  -20.69,  -17.20, -216.04,    0.35,    0.37,    5.44
 35,  28,  6, 1,   19.29,   -7.12,  -20.63,    0.45,    0.00,    1.87,    0.46,    2.59
 27,  28,  7, 1,   18.85,   -7.07,  -20.56,   12.79, -164.00,    5.45,    0.27,    4.73
  7,  28,  8, 1,   20.10,   -6.40,  -20.31,    6.93, -160.57,   -1.56,    0.35,    3.63
  9,  28,  9, 1,   19.66,   -6.56,  -20.54,   -0.31, -175.43,    0.00,    0.28,    2.97
 19,  28, 10, 1,   19.75,   -6.66,  -20.41,   -8.06, -154.04,   -1.37,    0.27,    5.76
 72,  56, 11, 1,   19.16,   -6.85,  -20.55,   -7.59,  -11.00,    1.47,    0.09,    2.50
 70,  56, 12, 1,   19.42,   -6.76,  -20.58,   -0.84, -188.00,    1.07,    0.79,    2.48
 28,  56, 13, 1,   19.02,   -7.11,  -20.38,  -12.35, -180.57,    1.37,    0.52,    4.18
 39,  56, 14, 1,   19.32,   -6.95,  -20.68,   14.89, -140.43,    3.18,    0.17,    3.11
  8,  56, 15, 1,   19.84,   -6.50,  -20.54,    6.57, -140.04,    0.11,    0.38,    7.82
  2,   0, 16, 1,   19.61,   -7.11,  -20.27,   -5.66,   -5.70,   -0.54,    0.09,    2.77
 55,   0, 17, 1,   19.42,   -7.37,  -20.54,   -5.58,   -5.70,    0.72,    0.23,    2.74
 22,  14,  1, 1,   19.27,   -6.66,  -20.67,   17.68,   19.00,    4.05,    0.19,    1.19
 78,  14,  2, 1,   19.38,   -6.12,  -20.81,   20.75, -152.00,    3.55,    0.18,    5.52
 14,  14,  3, 1,   19.76,   -6.77,  -20.45,   -0.29, -167.57,   -0.56,    0.33,    3.09
 59,  14,  4, 1,   19.37,   -7.33,  -20.38,  -15.22, -156.43,   -0.27,    0.18,    3.93
 80,  14,  5, 1,   18.16,   -7.10,  -20.03,  -62.36, -216.04,   -1.86,    0.30,   13.05
 71,  28,  6, 1,   19.25,   -6.91,  -20.64,    0.25,    0.00,    2.25,    0.22,    6.51
 38,  28,  7, 1,   19.19,   -7.29,  -20.59,    0.43, -164.00,    2.07,    0.46,    3.38
 13,  28,  8, 1,   19.78,   -6.63,  -20.63,    7.37, -160.57,    0.53,    0.49,    3.54
 30,  28,  9, 1,   19.39,   -7.15,  -20.56,   -1.76, -175.43,    0.58,    0.29,    5.14
 74,  28, 10, 1,   19.81,   -6.49,  -20.75,   -0.32, -154.04,   -0.37,    0.38,    2.58
 16,  56, 11, 1,   19.59,   -6.90,  -20.34,  -13.24,  -11.00,   -1.93,    0.15,    3.00
 66,  56, 12, 1,   19.23,   -6.70,  -20.52,   -7.54, -188.00,    1.06,    0.41,    4.05
 42,  56, 13, 1,   19.03,   -7.12,  -20.21,  -22.17, -180.57,   -0.97,    0.40,    4.44
 33,  56, 14, 1,   19.04,   -6.93,  -20.70,   13.70, -140.43,    4.56,    0.28,    5.68
 37,  56, 15, 1,   19.23,   -6.92,  -20.65,    9.98, -140.04,    3.10,    0.26,    3.19
 23,   0, 16, 1,   19.03,   -7.17,  -20.44,   -8.03,   -5.70,    1.70,    0.29,    3.28
 29,   0, 17, 1,   19.26,   -7.12,  -20.52,   -1.98,   -5.70,    1.49,    0.06,    3.42
 67,  14,  1, 1,   19.70,   -6.54,  -20.82,   13.15,   19.00,    1.96,    0.22,    3.68
 41,  14,  2, 1,   19.52,   -6.87,  -20.70,   16.65, -152.00,    2.27,    0.16,    3.22
 44,  14,  3, 1,   18.94,   -7.08,  -20.45,   -6.94, -167.57,    1.92,    0.83,    4.85
 56,  14,  4, 1,   18.89,   -7.59,  -20.26,  -25.55, -156.43,    0.36,    0.46,    6.56
 61,  14,  5, 1,   19.02,   -7.15,  -20.31,  -26.24, -216.04,   -0.51,    0.86,   14.18
  5,  28,  6, 1,   19.52,   -6.92,  -20.45,    0.13,    0.00,    0.65,    0.28,    3.07
 76,  28,  7, 1,   19.56,   -6.40,  -20.78,   13.65, -164.00,    2.69,    0.26,    2.64
 84,  28,  8, 1,   19.55,   -5.52,  -20.78,   14.38, -160.57,    2.84,    0.46,    6.45
 12,  28,  9, 1,   19.60,   -6.86,  -20.39,   -7.79, -175.43,   -0.92,    0.45,    4.13
 31,  28, 10, 1,   19.41,   -6.76,  -20.56,   -1.12, -154.04,    0.88,    0.25,    4.90
 47,  56, 11, 1,   19.23,   -7.40,  -20.50,   -6.13,  -11.00,    0.94,    0.14,    3.18
 57,  56, 12, 1,   19.37,   -7.19,  -20.39,  -12.85, -188.00,   -0.42,    0.21,    4.25
 34,  56, 13, 1,   18.92,   -7.33,  -20.41,   -9.12, -180.57,    2.01,    0.34,    2.63
