# VP12   2013-03-01_12-01-31
# Elapsed time of measurement: 263 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 79,  14,  5, 1,   18.04,   11.79,  -22.05,  -14.58,   -9.00,   -2.51,    0.30,    4.89
 24,  28,  6, 1,   17.50,   12.02,  -21.57,    7.91,    0.00,    1.55,    0.27,    2.96
 76,  28,  7, 1,   17.98,   11.55,  -22.52,   10.25,    5.00,   -0.25,    0.11,    1.91
 62,  28,  8, 1,   17.99,   10.53,  -22.98,   10.55,    5.00,    0.14,    0.14,    2.22
 34,  28,  9, 1,   17.81,   11.25,  -21.74,    0.30,   -9.00,   -0.43,    0.30,    2.14
 42,  28, 10, 1,   17.97,   10.85,  -21.78,   12.38,   -8.00,    0.07,    0.08,    3.11
 85,  56, 11, 1,   18.01,   11.83,  -21.98,   -2.04,  -11.00,   -0.96,    0.12,    2.42
  4,  56, 12, 1,   17.41,   11.40,  -21.85,  -16.99,  -20.00,   -1.84,    0.33,    2.61
 20,  56, 13, 1,   17.51,   11.87,  -21.69,   -8.75,  -16.00,   -1.50,    0.16,    2.24
 72,  56, 14, 1,   18.25,   11.05,  -22.54,   28.20,   16.00,    0.47,    0.11,    2.37
 81,  56, 15, 1,   18.41,   11.14,  -22.12,   19.27,    5.00,   -0.35,    0.13,    2.14
 25,   0, 16, 1,   17.51,   12.10,  -21.58,   -2.29,   -5.70,   -0.49,    0.11,    2.41
 53,   0, 17, 1,   21.02,   -0.18,  -21.96,   -4.99,   -5.70,   -3.17,    0.08,    1.52
 29,  14,  1, 1,   18.51,   10.70,  -21.79,   25.41,   19.00,   -2.04,    0.31,    8.75
 46,  14,  2, 1,   18.02,   10.86,  -21.68,   22.07,   15.00,    0.89,    0.23,    5.04
  1,  14,  3, 1,   17.28,   11.19,  -21.91,   -6.11,    1.00,    0.58,    0.43,    3.39
 69,  14,  4, 1,   17.73,   11.29,  -22.68,    9.23,   -7.00,    0.90,    0.27,    2.71
 50,  14,  5, 1,   19.03,    7.19,  -22.30,  -14.85,   -9.00,   -1.78,    0.06,    2.23
 67,  28,  6, 1,   17.70,   11.13,  -22.72,    7.98,    0.00,    1.31,    0.18,    2.06
  9,  28,  7, 1,   17.54,   11.01,  -21.95,    8.53,    5.00,    0.85,    0.13,    1.98
 47,  28,  8, 1,   17.96,   11.10,  -21.71,   12.77,    5.00,    0.30,    0.20,    2.16
 32,  28,  9, 1,   17.85,   11.26,  -21.74,   -0.73,   -9.00,   -0.79,    0.13,    2.11
 51,  28, 10, 1,   21.02,    0.28,  -21.96,   11.27,   -8.00,   -2.12,    0.35,    5.80
 18,  56, 11, 1,   17.60,   11.60,  -21.72,   -5.04,  -11.00,   -1.14,    0.14,    3.18
 12,  56, 12, 1,   17.64,   11.57,  -21.76,  -13.36,  -20.00,   -2.58,    0.14,    2.18
 56,  56, 13, 1,   17.81,    9.21,  -23.66,  -10.66,  -16.00,   -0.21,    0.57,   14.42
  3,  56, 14, 1,   17.54,   10.97,  -21.89,   21.29,   16.00,    1.79,    0.12,    2.77
 48,  56, 15, 1,   18.10,   11.22,  -21.65,   17.29,    5.00,    0.28,    0.11,    2.25
 63,   0, 16, 1,   17.82,   10.97,  -22.87,   -4.94,   -5.70,   -1.47,    0.23,    1.99
 82,   0, 17, 1,   18.22,   11.60,  -22.04,   -4.06,   -5.70,   -2.60,    0.35,    2.55
