# VP01   2013-02-20_14-08-08
# Elapsed time of measurement: 171 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 51,  14,  3, 1,   15.98,   -1.47,  -22.20,   -3.77,    6.25,    1.04,    0.33,    1.67
 34,  14,  4, 1,   15.94,   -1.68,  -22.12,  -18.15,   -4.99,   -3.05,    0.26,    1.76
 32,  14,  5, 1,   15.79,   -1.95,  -22.04,  -25.61,  -17.10,   -4.98,    0.48,    2.67
 10,  28,  6, 1,   16.82,   -1.78,  -22.53,   14.19,   20.00,    2.01,    0.26,    1.72
 40,  28,  7, 1,   15.61,   -1.91,  -21.97,  -26.48,  -19.40,   -4.22,    0.35,    1.60
 39,  28,  8, 1,   15.57,   -1.94,  -21.93,  -27.31,  -17.75,   -4.41,    0.25,    1.58
 55,  28,  9, 1,   15.85,   -1.95,  -22.07,  -24.17,  -11.99,   -4.35,    0.32,    2.07
 22,  28, 10, 1,   16.20,   -2.01,  -22.35,  -10.45,    6.90,   -1.49,    0.27,    1.51
  6,  56, 11, 1,   16.30,   -2.16,  -22.34,   -8.99,   -3.00,   -1.92,    0.35,    1.80
 80,  56, 12, 1,   15.92,   -1.13,  -21.91,  -17.53,  -12.40,   -3.40,    0.14,    2.56
  5,  56, 13, 1,   16.53,   -1.97,  -22.43,   -0.75,    9.25,   -0.59,    0.14,    1.23
 19,  56, 14, 1,   16.20,   -2.20,  -22.27,  -19.26,   -5.99,   -4.03,    0.19,    1.79
  3,  56, 15, 1,   16.15,   -2.67,  -22.20,  -24.49,  -17.10,   -5.45,    0.66,    1.72
 58,   0, 16, 1,   16.03,   -1.50,  -22.16,  -11.31,   -5.70,   -1.63,    0.08,    1.58
 57,   0, 17, 1,   16.02,   -1.53,  -22.20,   -9.45,   -5.70,   -0.91,    0.03,    2.03
 70,  14,  1, 1,   16.50,   -1.09,  -22.30,    7.39,   12.00,    1.94,    0.25,    2.14
 72,  14,  2, 1,   16.29,   -1.09,  -22.29,   -2.84,    4.60,   -0.04,    0.40,    1.91
 21,  14,  3, 1,   16.24,   -1.75,  -22.44,    0.25,    6.25,    1.24,    0.41,    1.67
 50,  14,  4, 1,   15.73,   -1.84,  -22.11,  -19.30,   -4.99,   -2.30,    0.20,    2.03
 31,  14,  5, 1,   15.88,   -2.06,  -22.12,  -25.33,  -17.10,   -5.02,    0.15,    2.04
 36,  28,  6, 1,   16.52,   -1.21,  -22.35,   12.18,   20.00,    3.62,    0.19,    2.33
 20,  28,  7, 1,   16.15,   -2.29,  -22.20,  -26.06,  -19.40,   -6.08,    0.46,    1.74
 75,  28,  8, 1,   15.83,   -1.99,  -22.05,  -27.97,  -17.75,   -5.66,    0.40,    2.44
 44,  28,  9, 1,   15.69,   -1.60,  -21.99,  -21.55,  -11.99,   -3.41,    0.14,    2.52
 33,  28, 10, 1,   16.04,   -1.62,  -22.21,   -6.91,    6.90,    0.00,    0.20,    1.93
 46,  56, 11, 1,   16.01,   -1.33,  -22.08,   -8.39,   -3.00,   -0.54,    0.26,    1.98
 82,  56, 12, 1,   15.96,   -1.63,  -22.09,  -20.70,  -12.40,   -4.05,    0.17,    2.22
 23,  56, 13, 1,   16.35,   -1.82,  -22.45,    0.50,    9.25,    0.84,    0.32,    1.41
  9,  56, 14, 1,   16.05,   -2.17,  -22.24,  -14.00,   -5.99,   -2.46,    0.11,    1.29
 73,  56, 15, 1,   15.82,   -2.01,  -21.99,  -30.05,  -17.10,   -6.33,    0.26,    2.15
  2,   0, 16, 1,   16.20,   -2.37,  -22.36,  -12.85,   -5.70,   -2.26,    0.14,    2.18
 24,   0, 17, 1,   16.25,   -1.98,  -22.35,   -9.22,   -5.70,   -1.36,    0.29,    2.43
