# VP02   2013-02-28_10-30-06
# Elapsed time of measurement: 238 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 63,  14,  1, 1,   19.04,    3.23,  -24.15,   12.18,   12.00,   -0.69,    0.38,    2.48
 64,  14,  2, 1,   18.54,    3.45,  -24.03,   -3.91,    9.00,   -0.36,    0.28,    2.14
 41,  14,  3, 1,   18.63,    3.32,  -24.15,    2.13,   15.00,    0.09,    0.46,    2.92
  3,  14,  4, 1,   18.11,    4.46,  -23.81,  -16.32,    9.00,   -1.62,    0.05,    2.26
 49,  14,  5, 1,   17.94,    3.75,  -23.88,  -22.92,    4.00,   -1.64,    0.06,    3.24
 82,  28,  6, 1,   18.99,    3.27,  -24.18,   12.09,   20.00,   -0.00,    0.20,    3.85
 40,  28,  7, 1,   18.14,    3.26,  -23.95,  -24.49,  -15.00,   -2.07,    0.10,    2.11
 10,  28,  8, 1,   18.05,    3.93,  -23.89,  -25.56,   -9.00,   -2.71,    0.07,    2.46
 34,  28,  9, 1,   18.19,    3.44,  -24.06,  -17.98,    1.00,   -1.10,    0.25,    2.85
 33,  28, 10, 1,   18.77,    3.39,  -24.14,    4.99,   25.00,   -0.09,    0.37,    2.06
 54,  56, 11, 1,   18.54,    3.74,  -24.03,   -1.79,   -3.00,   -0.10,    0.43,    2.52
  1,  56, 12, 1,   17.92,    4.18,  -23.79,  -23.13,   -8.00,   -2.05,    0.46,    2.01
 79,  56, 13, 1,   18.72,    3.44,  -24.12,    3.49,   18.00,   -0.04,    0.20,    3.10
 36,  56, 14, 1,   18.28,    3.51,  -24.05,  -13.93,    7.00,   -0.84,    0.29,    2.95
  9,  56, 15, 1,   18.12,    3.90,  -23.88,  -28.47,    0.00,   -3.18,    0.09,    2.84
 56,   0, 16, 1,   18.52,    3.77,  -24.05,   -7.18,   -5.70,   -0.65,    0.11,    3.79
 72,   0, 17, 1,   18.35,    3.43,  -24.05,  -10.67,   -5.70,   -0.45,    0.09,    3.01
  7,  14,  1, 1,   19.12,    4.66,  -23.93,   10.42,   12.00,   -0.12,    0.16,    2.04
 28,  14,  2, 1,   19.00,    3.64,  -24.08,   10.13,    9.00,   -0.45,    0.27,    2.16
 45,  14,  3, 1,   18.78,    3.57,  -24.09,    5.29,   15.00,   -0.14,    0.34,    3.75
 75,  14,  4, 1,   18.23,    3.28,  -24.04,  -16.26,    9.00,   -0.84,    0.22,    2.59
 83,  14,  5, 1,   18.12,    3.05,  -24.06,  -25.52,    4.00,   -1.59,    0.14,    2.80
 50,  28,  6, 1,   19.40,    3.68,  -24.02,   20.68,   20.00,   -1.12,    0.26,    2.66
 38,  28,  7, 1,   18.10,    3.21,  -24.05,  -24.41,  -15.00,   -1.72,    0.21,    2.64
 62,  28,  8, 1,   18.10,    3.27,  -24.02,  -21.36,   -9.00,   -1.21,    0.34,    1.71
 43,  28,  9, 1,   18.19,    3.33,  -24.02,  -21.84,    1.00,   -1.59,    0.21,    2.74
  2,  28, 10, 1,   18.80,    4.41,  -23.91,    5.89,   25.00,   -0.06,    0.43,    2.02
 12,  56, 11, 1,   18.41,    4.26,  -23.91,  -10.02,   -3.00,   -0.84,    0.28,    2.59
 22,  56, 12, 1,   18.29,    3.91,  -24.01,  -14.28,   -8.00,   -1.20,    0.29,    1.85
  5,  56, 13, 1,   18.94,    4.75,  -23.84,    6.25,   18.00,   -0.54,    0.21,    3.21
 18,  56, 14, 1,   18.48,    3.85,  -23.85,   -9.34,    7.00,   -1.34,    0.23,    1.99
 76,  56, 15, 1,   17.96,    3.21,  -23.98,  -25.55,    0.00,   -1.71,    0.24,    3.36
