# VP11   2013-02-26_17-29-33
# Elapsed time of measurement: 211 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 56,  14,  1, 1,   17.46,   -7.01,  -20.40,    5.07,   12.00,    0.49,    0.09,    2.14
 44,  14,  2, 1,   16.93,   -6.81,  -20.28,    1.50,    7.00,    2.62,    0.04,    1.80
 77,  14,  3, 1,   17.23,   -7.24,  -20.42,    4.13,    9.00,    1.97,    0.05,    2.78
 47,  14,  4, 1,   17.10,   -7.06,  -20.31,   -1.52,    2.00,    1.25,    0.08,    1.86
 74,  14,  5, 1,   17.38,   -7.16,  -20.39,   -3.55,   -7.00,    0.07,    0.08,    2.11
 15,  28,  6, 1,   16.84,   -6.25,  -20.23,   16.85,   20.00,    5.54,    0.10,    2.58
 43,  28,  7, 1,   16.83,   -7.25,  -20.14,  -11.18,  -18.00,    0.15,    0.10,    1.86
 61,  28,  8, 1,   17.22,   -7.20,  -20.19,  -13.16,  -13.00,   -2.15,    0.11,    2.92
 65,  28,  9, 1,   17.06,   -7.13,  -20.23,   -6.19,   -5.00,    0.06,    0.11,    1.61
 75,  28, 10, 1,   17.30,   -6.95,  -20.41,    8.36,   16.00,    2.90,    0.06,    2.63
 52,  56, 11, 1,   17.31,   -7.17,  -20.32,   -4.34,   -3.00,   -0.64,    0.05,    1.86
  4,  56, 12, 1,   17.27,   -7.13,  -20.23,  -13.46,  -10.00,   -2.25,    0.23,    2.05
 62,  56, 13, 1,   17.06,   -6.85,  -20.32,    6.57,   13.00,    3.08,    0.08,    2.03
 31,  56, 14, 1,   16.95,   -6.80,  -20.26,   -1.84,    1.00,    1.59,    0.11,    1.84
 45,  56, 15, 1,   17.05,   -7.13,  -20.24,   -7.09,   -9.00,   -0.18,    0.08,    2.00
 27,   0, 16, 1,   17.07,   -6.85,  -20.24,   -6.27,   -5.70,   -0.10,    0.13,    1.63
 26,   0, 17, 1,   17.05,   -6.82,  -20.26,   -5.85,   -5.70,    0.05,    0.10,    1.98
 39,  14,  1, 1,   17.08,   -6.59,  -20.31,    7.10,   12.00,    3.16,    0.12,    1.80
 71,  14,  2, 1,   17.39,   -7.27,  -20.44,   -2.70,    7.00,    0.52,    0.11,    3.16
 22,  14,  3, 1,   16.93,   -6.45,  -20.27,   16.31,    9.00,    4.93,    0.53,    3.83
 23,  14,  4, 1,   17.00,   -6.85,  -20.25,   -7.19,    2.00,   -0.02,    0.27,    2.96
  5,  14,  5, 1,   17.29,   -7.04,  -20.33,   -7.00,   -7.00,   -1.21,    0.14,    3.58
 76,  28,  6, 1,   17.45,   -6.90,  -20.46,   15.72,   20.00,    2.93,    0.20,    2.18
 17,  28,  7, 1,   17.01,   -7.15,  -20.10,  -18.01,  -18.00,   -2.03,    0.21,    2.53
 63,  28,  8, 1,   17.06,   -7.26,  -20.19,  -10.34,  -13.00,   -0.55,    0.15,    2.84
  8,  28,  9, 1,   16.99,   -7.15,  -20.30,   -4.75,   -5.00,    0.58,    0.06,    2.14
 40,  28, 10, 1,   17.00,   -6.65,  -20.29,    8.30,   16.00,    3.75,    0.09,    1.90
 46,  56, 11, 1,   17.09,   -7.15,  -20.26,   -5.65,   -3.00,    0.23,    0.10,    1.79
 20,  56, 12, 1,   16.99,   -7.17,  -20.21,  -10.49,  -10.00,   -0.42,    0.21,    2.21
 73,  56, 13, 1,   17.39,   -7.01,  -20.45,    4.75,   13.00,    1.96,    0.04,    3.24
 72,  56, 14, 1,   17.32,   -7.35,  -20.40,   -3.69,    1.00,    0.53,    0.11,    3.12
 54,  56, 15, 1,   16.97,   -7.37,  -20.19,   -8.45,   -9.00,    0.12,    0.10,    2.06
 41,   0, 16, 1,   17.03,   -6.99,  -20.28,   -2.88,   -5.70,    1.36,    0.16,    2.55
 34,   0, 17, 1,   17.02,   -7.11,  -20.27,   -5.25,   -5.70,    0.71,    0.06,    2.13
 42,  14,  1, 1,   17.03,   -6.76,  -20.31,    7.26,   12.00,    3.39,    0.18,    2.18
 66,  14,  2, 1,   17.03,   -7.15,  -20.27,   -1.88,    7.00,    1.50,    0.03,    2.16
 53,  14,  3, 1,   17.24,   -6.99,  -20.36,    5.89,    9.00,    1.78,    0.12,    1.87
 16,  14,  4, 1,   16.93,   -6.91,  -20.27,   -3.18,    2.00,    1.41,    0.08,    3.19
 25,  14,  5, 1,   17.05,   -6.84,  -20.23,   -8.74,   -7.00,   -0.65,    0.03,    1.72
 18,  28,  6, 1,   16.78,   -6.08,  -20.20,   16.47,   20.00,    6.14,    0.04,    3.40
 35,  28,  7, 1,   17.04,   -7.32,  -20.12,  -15.59,  -18.00,   -1.45,    0.24,    2.04
 37,  28,  8, 1,   16.95,   -7.21,  -20.11,  -15.36,  -13.00,   -1.02,    0.40,    1.28
 29,  28,  9, 1,   16.99,   -6.84,  -20.27,   -4.43,   -5.00,    0.87,    0.08,    1.81
 60,  28, 10, 1,   17.12,   -6.80,  -20.34,    9.31,   16.00,    2.69,    0.12,    2.35
 67,  56, 11, 1,   17.02,   -7.23,  -20.22,   -5.90,   -3.00,    0.41,    0.11,    3.08
 10,  56, 12, 1,   17.19,   -7.33,  -20.25,  -10.37,  -10.00,   -1.35,    0.16,    1.97
 82,  56, 13, 1,   17.18,   -6.95,  -20.40,   10.40,   13.00,    3.75,    0.06,    3.34
  2,  56, 14, 1,   17.30,   -7.13,  -20.38,   -0.81,    1.00,    0.11,    0.08,    1.90
 51,  56, 15, 1,   17.25,   -7.17,  -20.26,   -8.89,   -9.00,   -1.49,    0.08,    2.14
 19,   0, 16, 1,   16.93,   -6.97,  -20.28,   -5.32,   -5.70,    0.93,    0.09,    2.71
 79,   0, 17, 1,   17.16,   -7.27,  -20.29,   -7.65,   -5.70,   -0.27,    0.08,    2.65
 81,  14,  1, 1,   17.32,   -7.04,  -20.43,    5.51,   12.00,    1.82,    0.08,    2.68
 30,  14,  2, 1,   16.98,   -6.78,  -20.27,   -0.68,    7.00,    1.77,    0.13,    2.09
 14,  14,  3, 1,   17.05,   -6.76,  -20.33,    6.71,    9.00,    2.70,    0.07,    2.78
 38,  14,  4, 1,   16.99,   -7.07,  -20.24,   -5.81,    2.00,    0.79,    0.15,    1.56
 57,  14,  5, 1,   17.15,   -7.29,  -20.23,   -9.85,   -7.00,   -1.26,    0.15,    2.23
 13,  28,  6, 1,   17.02,   -6.34,  -20.31,   16.76,   20.00,    4.57,    0.14,    1.82
 83,  28,  7, 1,   17.37,   -7.28,  -20.26,  -14.29,  -18.00,   -2.54,    0.10,    3.22
  1,  28,  8, 1,   17.27,   -7.19,  -20.32,   -7.52,  -13.00,   -1.23,    0.15,    2.18
  7,  28,  9, 1,   16.96,   -7.18,  -20.30,   -5.47,   -5.00,    0.61,    0.09,    5.03
 33,  28, 10, 1,   17.02,   -6.48,  -20.31,    9.50,   16.00,    3.59,    0.14,    2.49
 11,  56, 11, 1,   17.03,   -7.29,  -20.30,   -6.16,   -3.00,    0.35,    0.05,    2.43
 48,  56, 12, 1,   17.18,   -7.06,  -20.22,   -7.68,  -10.00,   -0.09,    0.13,    2.07
 32,  56, 13, 1,   17.01,   -6.61,  -20.30,    3.52,   13.00,    2.68,    0.08,    1.78
 28,  56, 14, 1,   16.99,   -6.78,  -20.29,   -1.79,    1.00,    1.44,    0.11,    1.93
 59,  56, 15, 1,   17.07,   -7.33,  -20.26,   -6.96,   -9.00,   -0.16,    0.14,    2.04
 84,   0, 16, 1,   17.11,   -7.22,  -20.34,   -3.44,   -5.70,    1.22,    0.62,    3.02
 21,   0, 17, 1,   17.05,   -7.11,  -20.27,   -6.60,   -5.70,    0.12,    0.07,    2.25
 50,  14,  1, 1,   17.28,   -6.80,  -20.38,    8.45,   12.00,    2.27,    0.06,    2.21
 69,  14,  2, 1,   17.29,   -6.61,  -20.31,    1.58,    7.00,    1.59,    0.27,    2.65
 12,  14,  3, 1,   16.99,   -6.61,  -20.32,   13.66,    9.00,    4.11,    0.15,    5.26
 70,  14,  4, 1,   17.63,   -6.88,  -20.44,   -8.77,    2.00,   -1.68,    0.21,    4.80
 24,  14,  5, 1,   17.06,   -6.87,  -20.23,   -9.94,   -7.00,   -0.94,    0.12,    2.35
 68,  28,  6, 1,   17.17,   -6.39,  -20.27,   19.03,   20.00,    4.16,    0.15,    2.87
 36,  28,  7, 1,   17.05,   -7.28,  -20.19,  -13.22,  -18.00,   -1.02,    0.12,    1.21
  3,  28,  8, 1,   17.23,   -7.17,  -20.31,   -8.97,  -13.00,   -0.74,    0.37,    1.91
 64,  28,  9, 1,   17.02,   -7.15,  -20.24,   -5.58,   -5.00,    0.52,    0.17,    1.82
 85,  28, 10, 1,   17.25,   -6.40,  -20.37,   17.50,   16.00,    4.84,    0.17,    3.90
 49,  56, 11, 1,   17.28,   -7.04,  -20.30,   -5.47,   -3.00,   -0.61,    0.15,    1.63
 58,  56, 12, 1,   17.07,   -7.37,  -20.20,  -11.17,  -10.00,   -1.03,    0.07,    2.96
  6,  56, 13, 1,   17.25,   -6.87,  -20.39,   12.44,   13.00,    2.62,    0.09,    3.94
 78,  56, 14, 1,   17.18,   -7.43,  -20.37,   -4.33,    1.00,    0.23,    0.06,    2.69
  9,  56, 15, 1,   17.07,   -7.53,  -20.28,   -9.71,   -9.00,   -0.59,    0.08,    3.95
 80,   0, 16, 1,   17.13,   -7.27,  -20.28,   -7.88,   -5.70,   -0.14,    0.08,    1.97
 55,   0, 17, 1,   17.07,   -7.20,  -20.26,   -4.42,   -5.70,    0.31,    0.08,    1.73
