# VP04   2013-02-21_16-18-36
# Elapsed time of measurement: 268 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 67,  14,  1, 1,   18.06,    1.78,  -22.11,   18.93,   19.00,    1.70,    0.21,    2.62
 73,  14,  2, 1,   18.06,    1.20,  -22.23,   12.91, -152.00,   -0.26,    0.36,    3.03
  7,  14,  3, 1,   16.81,    1.03,  -22.30,   -2.72, -167.57,    1.52,    0.38,    3.81
 41,  14,  4, 1,   16.89,    0.84,  -22.27,  -10.54, -156.43,    0.46,    0.17,    4.04
 55,  14,  5, 1,   17.24,    1.08,  -22.10,  -19.63, -216.04,   -0.58,    0.17,    3.17
 57,  28,  6, 1,   17.44,    1.28,  -22.23,   -2.02,    0.00,    1.57,    0.40,    3.11
 75,  28,  7, 1,   17.82,    1.39,  -22.19,    9.80, -164.00,   -0.12,    0.34,    1.75
 58,  28,  8, 1,   17.62,    1.47,  -22.20,    6.05, -160.57,    1.72,    0.06,    3.31
 62,  28,  9, 1,   17.28,    1.58,  -22.15,   -9.21, -175.43,    0.67,    0.25,    3.14
 26,  28, 10, 1,   17.20,    1.32,  -22.25,    0.17, -154.04,    1.43,    0.27,    2.41
 34,  56, 11, 1,   17.00,    0.93,  -22.25,  -10.61,  -11.00,    0.19,    0.15,    2.90
 82,  56, 12, 1,   17.14,    1.46,  -22.08,  -11.69, -188.00,    0.15,    0.28,    2.71
  2,  56, 13, 1,   16.74,    0.64,  -22.25,   -9.28, -180.57,    0.77,    0.09,    3.21
 19,  56, 14, 1,   17.83,    1.57,  -22.23,   21.58, -140.43,    1.24,    0.33,    3.66
 24,  56, 15, 1,   17.61,    1.62,  -22.22,    5.12, -140.04,    0.40,    0.18,    3.24
 25,   0, 16, 1,   17.11,    1.31,  -22.21,   -4.84,   -5.70,    0.98,    0.06,    2.22
 80,   0, 17, 1,   17.25,    1.25,  -22.19,   -8.15,   -5.70,    0.39,    0.07,    2.05
 40,  14,  1, 1,   17.66,    1.14,  -22.16,   24.97,   19.00,    2.12,    0.32,    2.97
 43,  14,  2, 1,   17.57,    1.18,  -22.20,   17.51, -152.00,    1.68,    0.11,    2.86
 63,  14,  3, 1,   17.56,    1.91,  -22.11,    0.87, -167.57,    0.96,    0.69,    3.51
 70,  14,  4, 1,   17.27,    0.90,  -22.25,  -14.29, -156.43,    0.10,    0.31,    2.89
 27,  14,  5, 1,   16.72,    0.89,  -22.06,  -23.82, -216.04,   -1.45,    0.28,    3.89
 60,  28,  6, 1,   17.57,    1.52,  -22.20,    1.75,    0.00,    1.27,    0.27,    2.45
 37,  28,  7, 1,   17.48,    1.29,  -22.19,    9.12, -164.00,    1.07,    0.28,    2.68
 30,  28,  8, 1,   17.32,    1.62,  -22.20,    0.31, -160.57,    0.66,    0.42,    2.45
  3,  28,  9, 1,   16.78,    0.87,  -22.23,   -9.00, -175.43,    0.35,    0.19,    4.76
 12,  28, 10, 1,   17.05,    1.27,  -22.26,   -2.51, -154.04,    0.40,    0.37,    3.43
 54,  56, 11, 1,   17.86,    1.56,  -22.16,   -9.96,  -11.00,   -1.34,    0.19,    3.71
 16,  56, 12, 1,   16.54,    0.94,  -22.16,  -13.44, -188.00,    0.59,    0.11,    4.15
 10,  56, 13, 1,   16.49,    0.76,  -22.19,  -15.54, -180.57,    0.56,    0.30,    2.53
 29,  56, 14, 1,   17.90,    1.66,  -22.06,   16.83, -140.43,    0.86,    0.41,    2.49
 48,  56, 15, 1,   17.18,    1.24,  -22.24,    8.17, -140.04,    2.23,    0.12,    2.97
 72,   0, 16, 1,   17.43,    0.91,  -22.24,   -8.74,   -5.70,    0.24,    0.07,    3.33
 66,   0, 17, 1,   17.40,    1.44,  -22.17,   -8.71,   -5.70,   -0.00,    0.10,    2.03
 83,  14,  1, 1,   17.79,    1.51,  -22.15,   12.03,   19.00,    0.59,    0.18,    3.00
 17,  14,  2, 1,   17.73,    1.48,  -22.21,   18.66, -152.00,    1.03,    0.22,    3.94
 61,  14,  3, 1,   17.23,    1.56,  -22.16,   -7.87, -167.57,    1.12,    0.23,    3.55
 14,  14,  4, 1,   16.57,    0.87,  -22.19,  -15.12, -156.43,    0.17,    0.39,    4.35
 18,  14,  5, 1,   16.39,    0.68,  -22.05,  -26.41, -216.04,   -1.59,    0.22,    3.87
 33,  28,  6, 1,   17.34,    1.31,  -22.26,    5.88,    0.00,    1.39,    0.32,    2.64
 71,  28,  7, 1,   17.56,    1.24,  -22.32,    1.65, -164.00,    1.08,    0.37,    3.41
 49,  28,  8, 1,   17.32,    1.33,  -22.17,   13.15, -160.57,    2.41,    0.03,    3.29
 31,  28,  9, 1,   17.20,    1.28,  -22.16,  -11.55, -175.43,   -1.34,    0.21,    3.05
 44,  28, 10, 1,   16.91,    0.79,  -22.27,   -4.56, -154.04,    1.71,    0.26,    3.04
 22,  56, 11, 1,   16.86,    1.50,  -22.14,  -10.45,  -11.00,   -0.16,    0.08,    2.70
 20,  56, 12, 1,   16.74,    1.19,  -22.16,  -19.61, -188.00,   -1.47,    0.53,    3.67
 79,  56, 13, 1,   17.12,    0.96,  -22.19,  -14.21, -180.57,    0.31,    0.32,    2.05
 56,  56, 14, 1,   18.01,    1.49,  -22.22,   11.44, -140.43,    0.29,    0.24,    3.09
 74,  56, 15, 1,   17.59,    1.37,  -22.24,    5.61, -140.04,    0.56,    0.20,    3.08
 76,   0, 16, 1,   17.40,    1.20,  -22.18,   -8.85,   -5.70,   -0.22,    0.21,    1.61
 36,   0, 17, 1,   16.99,    1.00,  -22.23,   -4.74,   -5.70,    1.46,    0.06,    2.63
 52,  14,  1, 1,   17.55,    1.35,  -22.12,   23.41,   19.00,    2.51,    0.23,    3.19
 84,  14,  2, 1,   17.90,    1.61,  -22.17,   14.72, -152.00,    0.42,    0.25,    2.87
 78,  14,  3, 1,   17.39,    1.30,  -22.26,   -2.10, -167.57,    0.63,    0.24,    2.00
 50,  14,  4, 1,   16.82,    0.90,  -22.22,   -9.63, -156.43,    1.06,    0.06,    3.32
  4,  14,  5, 1,   16.41,    0.51,  -22.20,  -15.58, -216.04,    0.93,    0.43,    3.04
 65,  28,  6, 1,   17.50,    1.47,  -22.17,   -7.93,    0.00,   -0.41,    0.07,    2.30
 42,  28,  7, 1,   17.29,    1.08,  -22.30,    6.10, -164.00,    1.40,    0.14,    3.15
  8,  28,  8, 1,   17.21,    1.12,  -22.29,    6.72, -160.57,    1.18,    0.34,    4.80
 68,  28,  9, 1,   17.49,    1.28,  -22.19,  -11.09, -175.43,   -0.80,    0.07,    4.16
 47,  28, 10, 1,   17.04,    1.15,  -22.22,   -3.63, -154.04,    0.84,    0.31,    2.95
 32,  56, 11, 1,   17.09,    1.17,  -22.22,  -10.05,  -11.00,   -0.38,    0.08,    2.90
 46,  56, 12, 1,   16.79,    0.59,  -22.11,  -12.44, -188.00,    1.05,    0.25,    2.68
 38,  56, 13, 1,   16.65,    0.83,  -22.19,  -10.90, -180.57,    1.89,    0.38,    2.97
  6,  56, 14, 1,   16.99,    1.09,  -22.24,    4.83, -140.43,    2.05,    0.16,    3.34
 53,  56, 15, 1,   17.34,    1.41,  -22.19,   10.62, -140.04,    2.07,    0.22,    4.41
 59,   0, 16, 1,   17.33,    1.17,  -22.20,   -8.30,   -5.70,    1.02,    0.13,    2.91
 21,   0, 17, 1,   17.03,    1.56,  -22.17,   -6.84,   -5.70,   -0.17,    0.06,    3.53
 45,  14,  1, 1,   17.47,    1.04,  -22.26,   18.93,   19.00,    1.92,    0.24,    2.82
 81,  14,  2, 1,   17.67,    1.49,  -22.15,   14.05, -152.00,    1.27,    0.12,    3.16
  1,  14,  3, 1,   17.09,    0.99,  -22.41,    0.59, -167.57,    0.74,    0.63,    3.69
 23,  14,  4, 1,   16.70,    1.21,  -22.01,  -17.33, -156.43,   -1.07,    0.42,    2.46
 64,  14,  5, 1,   17.01,    1.21,  -22.08,  -26.40, -216.04,   -1.98,    0.21,    3.07
 13,  28,  6, 1,   17.34,    1.40,  -22.22,    8.94,    0.00,    1.22,    0.11,    4.25
 51,  28,  7, 1,   17.39,    1.21,  -22.21,    9.66, -164.00,    1.12,    0.23,    3.00
 35,  28,  8, 1,   17.34,    1.06,  -22.25,    3.35, -160.57,    0.83,    0.26,    3.15
 28,  28,  9, 1,   17.00,    1.10,  -22.14,  -10.38, -175.43,   -0.05,    0.31,    2.94
