# VP01   2013-10-15_16-58-05
# Elapsed time of measurement: 435 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 32,  14,  1, 1,   17.01,    9.85,  -26.31,   13.91,   13.00,    0.56,    0.16,    3.09
  9,  14,  2, 1,   16.86,    9.29,  -26.54,   10.18,   -1.00,    0.69,    0.18,    3.03
112,  14,  3, 1,   16.91,    8.77,  -26.46,   11.39,    8.00,   -0.29,    0.46,    2.70
 50,  14,  4, 1,   18.26,    8.81,  -26.47,   32.44,    7.00,    1.11,    0.08,    6.37
 75,  14,  5, 1,   15.11,    7.46,  -26.67,   88.23,   22.00,    1.47,    0.32,    6.04
 25,  14,  6, 1,   15.12,    5.79,  -26.41,  118.71,   30.00,   -0.67,    0.43,    4.98
 35,  28,  7, 1,   15.77,   10.11,  -26.26,  -11.60,   -9.00,   -1.78,    0.27,    2.91
 68,  28,  8, 1,   16.32,    8.98,  -26.64,    1.37,    2.00,    0.99,    0.41,    2.97
114,  28,  9, 1,   16.52,    8.72,  -26.55,    3.45,   12.00,   -0.64,    0.41,    1.43
 52,  28, 10, 1,   15.71,    9.83,  -26.35,  -16.87,   -5.00,   -0.61,    0.32,    2.95
 64,  28, 11, 1,   15.56,    9.07,  -26.64,  -10.71,   12.00,    1.60,    0.15,    3.94
 51,  28, 12, 1,   16.34,    9.91,  -26.36,   -4.02,   24.00,   -0.11,    0.48,    4.04
 77,  56, 13, 1,   14.47,    9.15,  -26.57,  -21.24,   -6.00,    0.81,    0.28,    8.58
 37,  56, 14, 1,   15.80,   10.08,  -26.36,    0.14,    1.00,   -0.79,    0.22,    5.02
103,  56, 15, 1,   16.49,    8.66,  -26.53,    5.58,    9.00,   -0.21,    0.30,    2.88
 40,  56, 16, 1,   16.81,    9.50,  -26.59,   17.30,   15.00,    0.30,    0.29,    3.80
 49,  56, 17, 1,   16.09,    9.72,  -26.45,   -5.30,   -4.00,    0.17,    0.23,    3.13
125,  56, 18, 1,   16.93,    8.31,  -26.61,   15.79,   13.00,    0.38,    0.26,    2.06
 79, 1456, 19, 1,   14.80,    9.01,  -26.57,  -14.54,  -11.00,    1.81,    0.07,    2.97
 66, 1456, 20, 1,   16.87,    8.87,  -26.60,   11.82,   11.00,    1.06,    0.06,    2.97
 65, 1456, 21, 1,   17.17,    8.61,  -26.65,   23.50,   17.00,    2.02,    0.08,    3.94
 86, 1456, 22, 1,   15.47,    9.05,  -26.54,   -9.67,   -7.00,   -0.13,    0.13,    1.35
100, 1456, 23, 1,   16.31,    8.80,  -26.57,    2.98,    3.00,   -0.49,    0.07,    2.80
 78, 1456, 24, 1,   15.74,    9.03,  -26.51,    0.55,   14.00,    0.43,    0.22,    5.04
121,   0, 25, 1,   16.15,    8.67,  -26.59,   -4.33,   -5.70,   -0.72,    0.07,    2.16
 59,   0, 26, 1,   15.85,    9.60,  -26.45,   -5.99,   -5.70,    0.61,    0.13,    2.91
 82,  14,  1, 1,   16.47,    8.63,  -26.61,   13.62,   13.00,    0.29,    0.20,    3.17
 93,  14,  2, 1,   16.17,    8.86,  -26.58,    3.34,   -1.00,   -0.39,    0.19,    1.90
 34,  14,  3, 1,   17.01,    9.72,  -26.42,   14.89,    8.00,    0.67,    0.42,    2.97
 15,  14,  4, 1,   17.37,    8.78,  -26.68,   22.46,    7.00,    1.34,    0.25,    3.15
 89,  14,  5, 1,   17.81,    5.05,  -26.38,   88.46,   22.00,   -3.57,    0.68,    3.93
 26,  14,  6, 1,   15.36,    5.94,  -26.44,  114.50,   30.00,   -0.53,    0.18,    2.13
 83,  28,  7, 1,   15.15,    8.96,  -26.62,  -13.09,   -9.00,    0.53,    0.11,    2.95
 97,  28,  8, 1,   15.95,    8.83,  -26.60,   -1.08,    2.00,    0.11,    0.16,    2.23
113,  28,  9, 1,   16.62,    8.84,  -26.46,    3.75,   12.00,   -1.09,    0.26,    2.04
 30,  28, 10, 1,   15.17,   10.63,  -26.18,  -10.93,   -5.00,   -0.03,    0.27,    4.20
101,  28, 11, 1,   15.57,    8.95,  -26.64,  -10.67,   12.00,   -0.27,    0.33,    2.94
 19,  28, 12, 1,   18.25,    9.07,  -26.36,   30.06,   24.00,    0.37,    0.18,    6.99
 33,  56, 13, 1,   15.61,   10.09,  -26.42,   -7.83,   -6.00,   -0.38,    0.25,    2.96
110,  56, 14, 1,   16.41,    8.91,  -26.47,    0.88,    1.00,   -0.96,    0.24,    2.10
 62,  56, 15, 1,   16.39,    9.47,  -26.49,    6.36,    9.00,    2.02,    0.25,    5.05
104,  56, 16, 1,   16.52,    8.54,  -26.73,   13.17,   15.00,    0.86,    0.39,    2.87
 76,  56, 17, 1,   14.70,    9.21,  -26.53,   -6.25,   -4.00,    2.36,    0.24,    4.15
118,  56, 18, 1,   17.10,    8.45,  -26.59,   17.52,   13.00,   -0.14,    0.27,    2.64
 99, 1456, 19, 1,   15.42,    8.85,  -26.60,  -12.37,  -11.00,    0.07,    0.14,    2.30
 11, 1456, 20, 1,   17.02,    9.30,  -26.50,   11.76,   11.00,    0.77,    0.15,    2.93
115, 1456, 21, 1,   17.03,    8.63,  -26.55,   16.89,   17.00,    0.44,    0.10,    2.74
