# VP05   2013-11-11_09-16-45
# Elapsed time of measurement: 439 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 36,   14,  1, 1,   15.72,    1.13,  -26.80,   22.34,   19.00,    1.04,    0.07,    4.94
 88,   14,  2, 1,   15.91,    0.80,  -26.71,   28.93,   20.00,   -0.29,    0.32,    2.41
 96,   14,  3, 1,   15.80,    1.04,  -26.84,    8.61,    9.00,    0.35,    0.14,    2.27
 29,   14,  4, 1,   16.00,    1.23,  -26.72,   26.30,   15.00,    0.17,    0.26,    5.10
  6,   14,  5, 1,   15.96,    1.18,  -26.87,   10.53,   18.00,   -0.50,    0.34,    2.94
  5,   28,  6, 1,   15.78,    1.03,  -27.00,   -6.25,    0.00,    0.05,    0.17,    2.16
107,   28,  7, 1,   15.71,    1.18,  -26.88,   -4.22,   10.00,   -0.40,    0.20,    2.44
 51,   28,  8, 1,   16.23,    1.69,  -26.72,   19.75,   18.00,   -0.69,    0.11,    8.23
 86,   28,  9, 1,   16.12,    1.28,  -26.86,  -22.12,   13.00,   -2.55,    0.27,    4.18
 81,   28, 10, 1,   16.07,    0.78,  -26.70,   28.36,   29.00,   -1.09,    0.11,    3.35
101,   56, 11, 1,   15.67,    1.17,  -26.88,  -11.63,  -11.00,   -0.81,    0.23,    7.86
 53,   56, 12, 1,   16.04,    1.50,  -26.94,  -20.77,  -13.00,   -2.09,    0.45,    2.71
 65,   56, 13, 1,   15.94,    1.35,  -26.89,  -14.58,   -1.00,   -0.75,    0.07,    3.46
 93,   56, 14, 1,   16.07,    1.03,  -26.63,   35.70,   43.00,   -0.47,    0.10,    3.33
 82,   56, 15, 1,   16.18,    0.58,  -26.61,   35.40,   45.00,   -2.09,    0.17,    3.80
 24, 1456, 16, 1,   15.79,    1.03,  -27.00,  -16.16,  -11.00,    0.26,    0.06,    5.92
 91, 1456, 17, 1,   15.92,    0.77,  -26.75,   25.16,    8.00,   -0.39,    0.21,    2.40
