# VP04   2012-05-07_16-08-09
# Elapsed time of measurement: 997 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 24.06, 13.25, -66.86, -2.75, 0.03


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 44,   3,  4, 1,   23.74,   12.71,  -67.03,  -19.80,  -14.04,    0.88,    0.09,    3.28
  6,   3,  5, 1,   23.17,   12.16,  -66.92,  -22.94,  -18.43,    1.33,    0.10,    3.32
 79,   3,  6, 1,   23.43,   11.59,  -66.91,  -34.68,  -22.62,    0.66,    0.24,    2.62
 54,   3,  7, 1,   23.43,   11.60,  -66.84,  -35.94,  -26.57,    0.03,    0.14,    4.00
116,   3,  8, 1,   23.86,   10.46,  -66.95,  -37.53,  -30.26,    1.84,    0.20,    3.17
100,   8,  9, 1,   26.75,   12.91,  -66.59,   37.03,   35.00,   -4.45,    0.14,    3.55
125,   8, 10, 1,   26.40,   13.14,  -66.55,   29.06,   30.24,   -3.27,    0.26,    3.07
 19,   8, 11, 1,   26.81,   14.18,  -66.65,   26.56,   25.54,   -2.02,    0.13,    4.88
 11,   8, 12, 1,   26.09,   13.85,  -66.69,   18.68,   20.96,   -1.87,    0.10,    4.30
123,   8, 13, 1,   25.74,   13.14,  -66.72,   18.24,   16.57,   -2.11,    0.09,    3.30
 53,   8, 14, 1,   25.26,   13.64,  -66.82,    8.77,   12.38,   -0.66,    0.07,    3.38
127,   8, 15, 1,   24.98,   12.35,  -66.95,    3.72,    8.43,   -0.24,    0.15,    3.03
 77,   8, 16, 1,   24.86,   13.87,  -66.95,   -0.87,    4.74,   -0.63,    0.18,    2.27
 36,  15, 17, 1,   25.32,   14.69,  -66.67,   14.90,   17.50,    0.40,    0.05,    3.37
 90,  15, 18, 1,   25.59,   12.53,  -66.89,   13.55,   12.74,   -1.88,    0.22,    2.69
 34,  15, 19, 1,   25.01,   14.54,  -66.72,   11.63,    8.04,    0.95,    0.05,    4.30
 88,  15, 20, 1,   24.70,   13.28,  -66.92,    0.70,    3.46,    0.17,    0.09,    2.26
124,  15, 21, 1,   24.53,   13.16,  -66.94,   -1.29,   -0.93,    0.42,    0.10,    3.09
  1,  15, 22, 1,   23.74,   11.36,  -66.95,   -8.20,   -5.12,    1.86,    0.19,    4.58
130,  15, 23, 1,   23.67,   12.33,  -67.02,   -7.85,   -9.07,    2.73,    0.17,    2.49
 13,  15, 24, 1,   23.74,   12.86,  -66.97,  -16.44,  -12.76,    1.01,    0.25,    3.93
 51,   0, 25, 1,   24.08,   13.81,  -66.90,   -5.66,   -5.70,    1.14,    0.17,    3.19
101,   0, 26, 1,   23.70,   13.43,  -66.94,   -6.93,   -5.70,    2.85,    0.08,    3.38
 69,   3,  1, 1,   24.56,   13.14,  -66.95,    0.04,    0.00,    0.40,    0.19,    3.86
129,   3,  2, 1,   23.83,   12.36,  -67.00,   -3.23,   -4.76,    2.42,    0.12,    3.78
  8,   3,  3, 1,   23.82,   13.58,  -66.97,  -10.35,   -9.46,    0.75,    0.14,    4.51
 41,   3,  4, 1,   23.73,   12.88,  -67.07,  -17.72,  -14.04,    0.74,    0.11,    2.97
 18,   3,  5, 1,   23.51,   12.61,  -66.98,  -23.88,  -18.43,    0.78,    0.10,    4.08
 70,   3,  6, 1,   23.58,   11.96,  -66.97,  -30.41,  -22.62,    0.61,    0.23,    3.80
 68,   3,  7, 1,   23.40,   11.15,  -66.75,  -38.75,  -26.57,    0.62,    0.11,    3.66
126,   3,  8, 1,   23.91,   10.02,  -66.95,  -40.04,  -30.26,    2.30,    0.20,    3.07
 38,   8,  9, 1,   25.97,   14.47,  -66.64,   29.58,   35.00,   -0.55,    0.17,    4.51
 84,   8, 10, 1,   25.95,   14.03,  -66.69,   27.61,   30.24,   -1.14,    0.26,    2.72
104,   8, 11, 1,   25.67,   13.28,  -66.78,   24.82,   25.54,   -1.59,    0.18,    3.62
 71,   8, 12, 1,   25.94,   13.55,  -66.75,   15.87,   20.96,   -2.22,    0.10,    4.19
 37,   8, 13, 1,   24.79,   14.83,  -66.63,   11.36,   16.57,    1.49,    0.25,    2.57
110,   8, 14, 1,   24.77,   13.27,  -66.90,    6.89,   12.38,    0.53,    0.15,    3.27
 26,   8, 15, 1,   25.39,   14.53,  -66.71,    8.07,    8.43,   -0.25,    0.11,    3.89
 46,   8, 16, 1,   24.86,   13.23,  -66.98,    1.86,    4.74,   -0.12,    0.21,    3.37
107,  15, 17, 1,   25.38,   13.46,  -66.74,   17.48,   17.50,   -0.75,    0.11,    2.79
112,  15, 18, 1,   25.12,   13.53,  -66.71,    9.60,   12.74,   -0.10,    0.37,    1.64
 72,  15, 19, 1,   24.79,   13.64,  -66.88,    6.47,    8.04,    0.24,    0.15,    3.12
 57,  15, 20, 1,   25.09,   13.53,  -66.91,    3.00,    3.46,   -0.73,    0.12,    3.06
  4,  15, 21, 1,   23.79,   13.73,  -66.82,   -5.41,   -0.93,    1.18,    0.17,    7.83
120,  15, 22, 1,   23.87,   12.84,  -66.94,   -6.85,   -5.12,    1.86,    0.26,    2.95
 58,  15, 23, 1,   24.02,   12.82,  -67.05,  -10.08,   -9.07,    0.90,    0.23,    2.73
109,  15, 24, 1,   23.46,   12.59,  -67.07,  -12.31,  -12.76,    2.95,    0.14,    3.44
 28,   0, 25, 1,   23.85,   13.82,  -66.91,   -6.49,   -5.70,    1.98,    0.03,    3.30
 59,   0, 26, 1,   24.25,   12.92,  -67.01,   -6.28,   -5.70,    0.52,    0.15,    2.34
115,   3,  1, 1,   24.26,   13.88,  -66.81,   -2.14,    0.00,    1.34,    0.16,    2.83
 24,   3,  2, 1,   23.81,   14.10,  -66.89,   -5.02,   -4.76,    2.17,    0.11,    3.42
 17,   3,  3, 1,   23.98,   13.54,  -66.91,  -12.76,   -9.46,    0.52,    0.14,    2.98
 64,   3,  4, 1,   23.56,   12.93,  -66.99,  -20.47,  -14.04,    1.46,    0.18,    3.03
102,   3,  5, 1,   23.27,   12.38,  -66.88,  -26.76,  -18.43,    2.31,    0.14,    3.52
  2,   3,  6, 1,   23.20,   10.39,  -67.05,  -27.11,  -22.62,    2.21,    0.21,    3.43
 74,   3,  7, 1,   23.91,   11.93,  -66.89,  -38.23,  -26.57,   -1.17,    0.22,    4.05
 56,   3,  8, 1,   23.42,   11.49,  -66.88,  -38.42,  -30.26,    0.07,    0.13,    4.07
 63,   8,  9, 1,   26.68,   13.88,  -66.58,   33.89,   35.00,   -1.95,    0.22,    4.11
  7,   8, 10, 1,   26.70,   13.81,  -66.69,   25.81,   30.24,   -2.62,    0.17,    4.50
 86,   8, 11, 1,   26.02,   13.49,  -66.62,   21.71,   25.54,   -2.01,    0.37,    2.54
 94,   8, 12, 1,   25.68,   12.93,  -66.87,   17.34,   20.96,   -1.21,    0.06,    3.29
 92,   8, 13, 1,   25.42,   12.69,  -66.84,   13.19,   16.57,   -1.47,    0.11,    3.44
 99,   8, 14, 1,   25.26,   13.29,  -66.84,   10.39,   12.38,   -0.34,    0.11,    4.14
 23,   8, 15, 1,   24.55,   14.21,  -66.88,    3.31,    8.43,    1.64,    0.08,    4.28
