# VP01   2012-05-08_11-51-44
# Elapsed time of measurement: 370 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 25.40, 10.47, -73.34, -1.17, 0.05


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 69,   3,  1, 1,   25.90,   12.27,  -72.68,    2.24,    0.00,    1.00,    0.16,    1.99
 66,   3,  2, 1,   25.74,   11.70,  -72.84,   -2.40,   -4.76,    0.22,    0.22,    1.85
 43,   3,  3, 1,   25.46,   10.08,  -73.04,  -11.57,   -9.46,   -1.23,    0.17,    1.89
 97,   3,  4, 1,   26.56,    9.76,  -73.10,  -19.99,  -14.04,   -2.84,    0.18,    1.98
 96,   3,  5, 1,   26.64,    8.92,  -73.11,  -26.15,  -18.43,   -3.48,    0.11,    1.58
122,   3,  6, 1,   27.28,    9.25,  -73.18,  -27.97,  -22.62,   -5.17,    0.13,    1.90
 36,   3,  7, 1,   26.20,    8.30,  -72.94,  -35.41,  -26.57,   -5.76,    0.14,    2.56
106,   3,  8, 1,   27.89,    9.58,  -72.87,  -37.19,  -30.26,   -8.79,    0.17,    2.74
 40,   8,  9, 1,   28.67,   13.86,  -72.33,   34.46,   35.00,   -0.78,    0.11,    3.03
 13,   8, 10, 1,   28.55,   15.54,  -71.92,   33.67,   30.24,    1.34,    0.15,    2.47
  2,   8, 11, 1,   27.13,   13.96,  -72.47,   25.68,   25.54,   -0.85,    0.14,    3.46
110,   8, 12, 1,   27.36,   15.27,  -72.19,   24.05,   20.96,    2.91,    0.45,    1.93
 87,   8, 13, 1,   26.75,   12.62,  -72.86,   13.95,   16.57,    1.07,    0.32,    2.07
 65,   8, 14, 1,   25.94,   12.84,  -72.40,    8.31,   12.38,    2.01,    0.21,    2.63
 17,   8, 15, 1,   25.07,   13.09,  -72.56,    8.12,    8.43,    2.69,    0.20,    2.45
  9,   8, 16, 1,   25.66,   12.37,  -72.69,    3.79,    4.74,    0.36,    0.06,    2.28
 45,  15, 17, 1,   25.82,   13.19,  -72.41,   19.83,   17.50,    2.66,    0.14,    2.24
 76,  15, 18, 1,   25.84,   13.52,  -72.52,   12.18,   12.74,    2.95,    0.20,    2.16
  6,  15, 19, 1,   25.62,   13.40,  -72.57,   10.21,    8.04,    1.21,    0.28,    3.12
 56,  15, 20, 1,   25.57,   11.53,  -72.92,   -0.79,    3.46,    0.39,    0.18,    1.51
100,  15, 21, 1,   27.28,   11.73,  -73.15,   -1.63,   -0.93,   -1.78,    0.22,    2.57
