# X/m   Y/m  number_of_sources   number_of_sources_ci
 0.00  -0.75   1.00  0.00
-0.25  -0.75   1.04  0.07
-0.50  -0.75   1.36  0.34
-0.75  -0.75   1.61  0.32
-1.00  -0.75   1.79  0.30


 0.00   0.00   1.04  0.07
-0.25   0.00   1.00  0.00
-0.50   0.00   1.07  0.09
-0.75   0.00   1.50  0.33
-1.00   0.00   1.46  0.35
-1.25   0.00   1.21  0.23


 0.00   0.75   1.07  0.09
-0.25   0.75   1.04  0.07
-0.50   0.75   1.00  0.00
-0.75   0.75   1.46  0.28
-1.00   0.75   1.11  0.21


