
# Curve 0 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-44.0505  0.531617  i
-42.2525  0.513417  i
-40.4545  0.494912  i
-38.6566  0.476139  i
-36.8586  0.45654  i
-35.0606  0.436542  i
-33.2626  0.415937  i
-31.4646  0.395069  i
-29.6667  0.374099  i
-27.8687  0.352542  i
-26.0707  0.330648  i
-24.2727  0.308463  i
-22.4747  0.286359  i
-20.6768  0.263802  i
-18.8788  0.24103  i
-17.0808  0.217951  i
-15.2828  0.194649  i
-13.4848  0.171501  i
-11.6869  0.148173  i
-9.88889  0.124749  i
-8.09091  0.101251  i
-6.29293  0.0774921  i
-4.49495  0.0536505  i
-2.69697  0.0300802  i
-0.89899  0.00638414  i
 0.89899 -0.0174337  i
 2.69697 -0.0412695  i
 4.49495 -0.0649979  i
 6.29293 -0.0890324  i
 8.09091 -0.11279  i
 9.88889 -0.136525  i
 11.6869 -0.16012  i
 13.4848 -0.183755  i
 15.2828 -0.207294  i
 17.0808 -0.230041  i
 18.8788 -0.252772  i
 20.6768 -0.275682  i
 22.4747 -0.298565  i
 24.2727 -0.321217  i
 26.0707 -0.343282  i
 27.8687 -0.365034  i
 29.6667 -0.386509  i
 31.4646 -0.40743  i
 33.2626 -0.428324  i
 35.0606 -0.448675  i
 36.8586 -0.46858  i
 38.6566 -0.488198  i
 40.4545 -0.507504  i
 42.2525 -0.526036  i
 44.0505 -0.543968  i
 45.8485 -0.561814  i
 47.6465 -0.57912  i
 49.4444 -0.595531  i
 51.2424 -0.611434  i
 53.0404 -0.626524  i
 54.8384 -0.641518  i
 56.6364 -0.655836  i
 58.4343 -0.66917  i
 60.2323 -0.681944  i
 62.0303 -0.694379  i
 63.8283 -0.706023  i
 65.6263 -0.716612  i
 67.4242 -0.726517  i
 69.2222 -0.736029  i
 71.0202 -0.744827  i
 72.8182 -0.752979  i
 74.6162 -0.760072  i
 76.4141 -0.76662  i
 78.2121 -0.772744  i
 80.0101 -0.777991  i
 81.8081 -0.782383  i
 83.6061 -0.785987  i
 85.404 -0.788624  i
 87.202 -0.790829  i
 89 -0.792635  i


# Curve 3 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.755345  i
-87.202  0.753669  i
-85.404  0.751451  i
-83.6061  0.748484  i
-81.8081  0.744719  i
-80.0101  0.739988  i
-78.2121  0.734639  i
-76.4141  0.728815  i
-74.6162  0.72217  i
-72.8182  0.714615  i
-71.0202  0.706542  i
-69.2222  0.698006  i
-67.4242  0.688522  i
-65.6263  0.678478  i
-63.8283  0.667711  i
-62.0303  0.656158  i
-60.2323  0.644016  i
-58.4343  0.631266  i
-56.6364  0.617582  i
-54.8384  0.603397  i
-53.0404  0.588822  i
-51.2424  0.573503  i
-49.4444  0.557636  i
-47.6465  0.540995  i
-45.8485  0.523906  i
-44.0505  0.506498  i
-42.2525  0.488534  i
-40.4545  0.470197  i
-38.6566  0.451312  i
-36.8586  0.431832  i
-35.0606  0.412198  i
-33.2626  0.392167  i
-31.4646  0.371882  i
-29.6667  0.351323  i
-27.8687  0.330213  i
-26.0707  0.308816  i
-24.2727  0.287694  i
-22.4747  0.266347  i
-20.6768  0.244573  i
-18.8788  0.222682  i
-17.0808  0.200622  i
-15.2828  0.178671  i
-13.4848  0.156693  i
-11.6869  0.134452  i
-9.88889  0.11208  i
-8.09091  0.0898462  i
-6.29293  0.0675504  i
-4.49495  0.0452691  i
-2.69697  0.0228979  i
-0.89899  0.000561753  i
 0.89899 -0.0216882  i
 2.69697 -0.0441684  i
 4.49495 -0.0666125  i
 6.29293 -0.0889495  i
 8.09091 -0.111283  i
 9.88889 -0.133476  i
 11.6869 -0.155487  i
 13.4848 -0.177653  i
 15.2828 -0.199801  i
 17.0808 -0.221875  i
 18.8788 -0.243572  i
 20.6768 -0.265145  i
 22.4747 -0.286621  i
 24.2727 -0.307781  i
 26.0707 -0.328866  i
 27.8687 -0.349883  i
 29.6667 -0.370551  i
 31.4646 -0.390817  i
 33.2626 -0.410947  i
 35.0606 -0.430489  i
 36.8586 -0.449786  i
 38.6566 -0.469064  i
 40.4545 -0.487677  i
 42.2525 -0.505954  i
 44.0505 -0.523882  i
 45.8485 -0.541233  i
 47.6465 -0.55801  i
 49.4444 -0.57414  i
 51.2424 -0.589773  i
 53.0404 -0.60493  i
 54.8384 -0.619678  i
 56.6364 -0.633669  i
 58.4343 -0.647205  i
 60.2323 -0.660187  i
 62.0303 -0.672172  i
 63.8283 -0.683341  i
 65.6263 -0.694048  i
 67.4242 -0.704051  i
 69.2222 -0.713568  i
 71.0202 -0.722538  i
 72.8182 -0.730633  i
 74.6162 -0.737985  i
 76.4141 -0.744428  i
 78.2121 -0.7503  i
 80.0101 -0.75532  i
 81.8081 -0.759576  i
 83.6061 -0.763466  i
 85.404 -0.766539  i
 87.202 -0.768928  i
 89 -0.770762  i


# Curve 4 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.765657  i
-87.202  0.763869  i
-85.404  0.761605  i
-83.6061  0.758472  i
-81.8081  0.754688  i
-80.0101  0.750332  i
-78.2121  0.745066  i
-76.4141  0.739047  i
-74.6162  0.732346  i
-72.8182  0.725131  i
-71.0202  0.716968  i
-69.2222  0.708233  i
-67.4242  0.698894  i
-65.6263  0.688814  i
-63.8283  0.677988  i
-62.0303  0.666309  i
-60.2323  0.653861  i
-58.4343  0.640883  i
-56.6364  0.627148  i
-54.8384  0.612733  i
-53.0404  0.597764  i
-51.2424  0.581947  i
-49.4444  0.565573  i
-47.6465  0.548659  i
-45.8485  0.531189  i
-44.0505  0.513467  i
-42.2525  0.49511  i
-40.4545  0.476036  i
-38.6566  0.456535  i
-36.8586  0.436694  i
-35.0606  0.416423  i
-33.2626  0.395733  i
-31.4646  0.374757  i
-29.6667  0.353747  i
-27.8687  0.332413  i
-26.0707  0.310749  i
-24.2727  0.288691  i
-22.4747  0.266333  i
-20.6768  0.243815  i
-18.8788  0.221278  i
-17.0808  0.198698  i
-15.2828  0.176102  i
-13.4848  0.153338  i
-11.6869  0.130388  i
-9.88889  0.107609  i
-8.09091  0.0850317  i
-6.29293  0.0621147  i
-4.49495  0.0392316  i
-2.69697  0.0163212  i
-0.89899 -0.00657297  i
 0.89899 -0.02929  i
 2.69697 -0.0519478  i
 4.49495 -0.0745255  i
 6.29293 -0.0972311  i
 8.09091 -0.119942  i
 9.88889 -0.142449  i
 11.6869 -0.16491  i
 13.4848 -0.18758  i
 15.2828 -0.210064  i
 17.0808 -0.232293  i
 18.8788 -0.254639  i
 20.6768 -0.276848  i
 22.4747 -0.298842  i
 24.2727 -0.320848  i
 26.0707 -0.342694  i
 27.8687 -0.364168  i
 29.6667 -0.385478  i
 31.4646 -0.406544  i
 33.2626 -0.427502  i
 35.0606 -0.447782  i
 36.8586 -0.467679  i
 38.6566 -0.487395  i
 40.4545 -0.506886  i
 42.2525 -0.525795  i
 44.0505 -0.544257  i
 45.8485 -0.562087  i
 47.6465 -0.579512  i
 49.4444 -0.596401  i
 51.2424 -0.612658  i
 53.0404 -0.628374  i
 54.8384 -0.643406  i
 56.6364 -0.65768  i
 58.4343 -0.671481  i
 60.2323 -0.684605  i
 62.0303 -0.696922  i
 63.8283 -0.708388  i
 65.6263 -0.719247  i
 67.4242 -0.729447  i
 69.2222 -0.738879  i
 71.0202 -0.74764  i
 72.8182 -0.755524  i
 74.6162 -0.762961  i
 76.4141 -0.769707  i
 78.2121 -0.775598  i
 80.0101 -0.780669  i
 81.8081 -0.784956  i
 83.6061 -0.788749  i
 85.404 -0.791766  i
 87.202 -0.79395  i
 89 -0.79572  i


# Curve 5 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.730953  i
-87.202  0.729322  i
-85.404  0.727111  i
-83.6061  0.723996  i
-81.8081  0.720159  i
-80.0101  0.715767  i
-78.2121  0.710604  i
-76.4141  0.704749  i
-74.6162  0.698187  i
-72.8182  0.690824  i
-71.0202  0.682708  i
-69.2222  0.674069  i
-67.4242  0.664971  i
-65.6263  0.654967  i
-63.8283  0.644376  i
-62.0303  0.632922  i
-60.2323  0.620855  i
-58.4343  0.608081  i
-56.6364  0.594713  i
-54.8384  0.580922  i
-53.0404  0.566387  i
-51.2424  0.550712  i
-49.4444  0.534382  i
-47.6465  0.517751  i
-45.8485  0.500856  i
-44.0505  0.483338  i
-42.2525  0.465114  i
-40.4545  0.446333  i
-38.6566  0.427235  i
-36.8586  0.407913  i
-35.0606  0.388243  i
-33.2626  0.368213  i
-31.4646  0.347841  i
-29.6667  0.32731  i
-27.8687  0.306517  i
-26.0707  0.285491  i
-24.2727  0.264198  i
-22.4747  0.242686  i
-20.6768  0.221151  i
-18.8788  0.199575  i
-17.0808  0.178035  i
-15.2828  0.156458  i
-13.4848  0.134859  i
-11.6869  0.113122  i
-9.88889  0.0913654  i
-8.09091  0.0695652  i
-6.29293  0.0476705  i
-4.49495  0.0258936  i
-2.69697  0.00421457  i
-0.89899 -0.0174645  i
 0.89899 -0.0392577  i
 2.69697 -0.0608678  i
 4.49495 -0.0825245  i
 6.29293 -0.104122  i
 8.09091 -0.125619  i
 9.88889 -0.147013  i
 11.6869 -0.168188  i
 13.4848 -0.189387  i
 15.2828 -0.210309  i
 17.0808 -0.231058  i
 18.8788 -0.251803  i
 20.6768 -0.27231  i
 22.4747 -0.292692  i
 24.2727 -0.313033  i
 26.0707 -0.333168  i
 27.8687 -0.353078  i
 29.6667 -0.37268  i
 31.4646 -0.392054  i
 33.2626 -0.411364  i
 35.0606 -0.43021  i
 36.8586 -0.448829  i
 38.6566 -0.467444  i
 40.4545 -0.485861  i
 42.2525 -0.503677  i
 44.0505 -0.521142  i
 45.8485 -0.537937  i
 47.6465 -0.554371  i
 49.4444 -0.570502  i
 51.2424 -0.585969  i
 53.0404 -0.601136  i
 54.8384 -0.615489  i
 56.6364 -0.629271  i
 58.4343 -0.642607  i
 60.2323 -0.655337  i
 62.0303 -0.66707  i
 63.8283 -0.678397  i
 65.6263 -0.689237  i
 67.4242 -0.699374  i
 69.2222 -0.708822  i
 71.0202 -0.71757  i
 72.8182 -0.725506  i
 74.6162 -0.733018  i
 76.4141 -0.739759  i
 78.2121 -0.745647  i
 80.0101 -0.750892  i
 81.8081 -0.755312  i
 83.6061 -0.759149  i
 85.404 -0.76233  i
 87.202 -0.764779  i
 89 -0.766682  i


# Curve 6 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.736704  i
-87.202  0.73598  i
-85.404  0.734642  i
-83.6061  0.732537  i
-81.8081  0.729773  i
-80.0101  0.725821  i
-78.2121  0.721113  i
-76.4141  0.715938  i
-74.6162  0.710108  i
-72.8182  0.703635  i
-71.0202  0.696194  i
-69.2222  0.687928  i
-67.4242  0.678821  i
-65.6263  0.668937  i
-63.8283  0.658214  i
-62.0303  0.646528  i
-60.2323  0.634358  i
-58.4343  0.62136  i
-56.6364  0.607381  i
-54.8384  0.592733  i
-53.0404  0.576912  i
-51.2424  0.56017  i
-49.4444  0.542899  i
-47.6465  0.525101  i
-45.8485  0.506532  i
-44.0505  0.487594  i
-42.2525  0.468204  i
-40.4545  0.447808  i
-38.6566  0.427074  i
-36.8586  0.406677  i
-35.0606  0.385897  i
-33.2626  0.364819  i
-31.4646  0.343755  i
-29.6667  0.32279  i
-27.8687  0.301699  i
-26.0707  0.280324  i
-24.2727  0.258774  i
-22.4747  0.237316  i
-20.6768  0.215883  i
-18.8788  0.194546  i
-17.0808  0.173348  i
-15.2828  0.151796  i
-13.4848  0.13028  i
-11.6869  0.108883  i
-9.88889  0.087282  i
-8.09091  0.0657419  i
-6.29293  0.0441142  i
-4.49495  0.0223077  i
-2.69697  0.000669737  i
-0.89899 -0.0209711  i
 0.89899 -0.0423649  i
 2.69697 -0.0635316  i
 4.49495 -0.084638  i
 6.29293 -0.105535  i
 8.09091 -0.126023  i
 9.88889 -0.146276  i
 11.6869 -0.16619  i
 13.4848 -0.186064  i
 15.2828 -0.205805  i
 17.0808 -0.225428  i
 18.8788 -0.245217  i
 20.6768 -0.265041  i
 22.4747 -0.284717  i
 24.2727 -0.304286  i
 26.0707 -0.323866  i
 27.8687 -0.343346  i
 29.6667 -0.362688  i
 31.4646 -0.382029  i
 33.2626 -0.401355  i
 35.0606 -0.42047  i
 36.8586 -0.439638  i
 38.6566 -0.458647  i
 40.4545 -0.477297  i
 42.2525 -0.495613  i
 44.0505 -0.513531  i
 45.8485 -0.531288  i
 47.6465 -0.548795  i
 49.4444 -0.566237  i
 51.2424 -0.583134  i
 53.0404 -0.599361  i
 54.8384 -0.614436  i
 56.6364 -0.6286  i
 58.4343 -0.642362  i
 60.2323 -0.655536  i
 62.0303 -0.668334  i
 63.8283 -0.680274  i
 65.6263 -0.691215  i
 67.4242 -0.701716  i
 69.2222 -0.711528  i
 71.0202 -0.720451  i
 72.8182 -0.728729  i
 74.6162 -0.736108  i
 76.4141 -0.742627  i
 78.2121 -0.748023  i
 80.0101 -0.752444  i
 81.8081 -0.75587  i
 83.6061 -0.758726  i
 85.404 -0.761398  i
 87.202 -0.76291  i
 89 -0.763431  i


# Curve 7 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.691555  i
-87.202  0.690361  i
-85.404  0.688408  i
-83.6061  0.685879  i
-81.8081  0.682858  i
-80.0101  0.678653  i
-78.2121  0.673834  i
-76.4141  0.668457  i
-74.6162  0.662576  i
-72.8182  0.656018  i
-71.0202  0.648674  i
-69.2222  0.640851  i
-67.4242  0.632568  i
-65.6263  0.623526  i
-63.8283  0.613782  i
-62.0303  0.603748  i
-60.2323  0.593214  i
-58.4343  0.581593  i
-56.6364  0.56935  i
-54.8384  0.556535  i
-53.0404  0.543393  i
-51.2424  0.529927  i
-49.4444  0.515722  i
-47.6465  0.500839  i
-45.8485  0.485451  i
-44.0505  0.469517  i
-42.2525  0.452954  i
-40.4545  0.436162  i
-38.6566  0.419085  i
-36.8586  0.401754  i
-35.0606  0.384152  i
-33.2626  0.366341  i
-31.4646  0.348274  i
-29.6667  0.329818  i
-27.8687  0.311174  i
-26.0707  0.292332  i
-24.2727  0.273206  i
-22.4747  0.25379  i
-20.6768  0.234162  i
-18.8788  0.214195  i
-17.0808  0.193817  i
-15.2828  0.173257  i
-13.4848  0.15261  i
-11.6869  0.131861  i
-9.88889  0.110985  i
-8.09091  0.0899338  i
-6.29293  0.0685796  i
-4.49495  0.047027  i
-2.69697  0.0255864  i
-0.89899  0.00447163  i
 0.89899 -0.0164013  i
 2.69697 -0.037149  i
 4.49495 -0.0577737  i
 6.29293 -0.0786372  i
 8.09091 -0.0996285  i
 9.88889 -0.120901  i
 11.6869 -0.142362  i
 13.4848 -0.163764  i
 15.2828 -0.184972  i
 17.0808 -0.205887  i
 18.8788 -0.226778  i
 20.6768 -0.247573  i
 22.4747 -0.268323  i
 24.2727 -0.288958  i
 26.0707 -0.309335  i
 27.8687 -0.329361  i
 29.6667 -0.349392  i
 31.4646 -0.369293  i
 33.2626 -0.388968  i
 35.0606 -0.408335  i
 36.8586 -0.427331  i
 38.6566 -0.445961  i
 40.4545 -0.46429  i
 42.2525 -0.482051  i
 44.0505 -0.499432  i
 45.8485 -0.516593  i
 47.6465 -0.533486  i
 49.4444 -0.549267  i
 51.2424 -0.564255  i
 53.0404 -0.578597  i
 54.8384 -0.592266  i
 56.6364 -0.605261  i
 58.4343 -0.617442  i
 60.2323 -0.628892  i
 62.0303 -0.639683  i
 63.8283 -0.650021  i
 65.6263 -0.659944  i
 67.4242 -0.669327  i
 69.2222 -0.677923  i
