# X/m   Y/m  number_of_sources   number_of_sources_ci
 0.00  -0.75   1.04   0.07
-0.25  -0.75   1.00   0.00
-0.50  -0.75   1.04   0.07
-0.75  -0.75   1.14   0.15
-1.00  -0.75   1.43   0.28


 0.00   0.00   1.04   0.07
-0.25   0.00   1.07   0.09
-0.50   0.00   1.11   0.15
-0.75   0.00   1.18   0.24
-1.00   0.00   1.46   0.30
-1.25   0.00   1.68   0.30


 0.00   0.75   1.04   0.07
-0.25   0.75   1.04   0.07
-0.50   0.75   1.29   0.23
-0.75   0.75   1.32   0.28
-1.00   0.75   1.68   0.36


