# VP07   2013-11-07_17-01-01
# Elapsed time of measurement: 310 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 30,   14,  1, 1,    1.00,    8.32
 78,   14,  2, 1,    2.00,    5.09
 40,   14,  3, 1,    2.00,    5.86
 41,   14,  4, 1,    2.00,    4.74
 37,   14,  5, 1,    2.00,    2.63
 72,   28,  6, 1,    1.00,    2.17
 21,   28,  7, 1,    1.00,    2.65
 36,   28,  8, 1,    2.00,    3.51
 12,   28,  9, 1,    1.00,    2.76
 25,   28, 10, 1,    1.00,    3.15
 26,   56, 11, 1,    2.00,    3.69
 52,   56, 12, 1,    1.00,    2.40
 71,   56, 13, 1,    1.00,    2.15
 63,   56, 14, 1,    1.00,    3.03
 13,   56, 15, 1,    2.00,    3.91
 33, 1456, 16, 1,    1.00,    2.71
 82, 1456, 17, 1,    1.00,    1.89
 60, 1456, 18, 1,    1.00,    1.98
 20, 1456, 19, 1,    1.00,    2.34
 28, 1456, 20, 1,    1.00,    2.65
 80,    0, 21, 1,    1.00,    2.39
 61,   14,  1, 1,    1.00,    5.16
 62,   14,  2, 1,    2.00,    2.73
  1,   14,  3, 1,    1.00,    4.75
 81,   14,  4, 1,    2.00,   10.35
 44,   14,  5, 1,    2.00,    3.55
 65,   28,  6, 1,    1.00,    3.64
 32,   28,  7, 1,    1.00,    2.76
  6,   28,  8, 1,    1.00,    2.30
 59,   28,  9, 1,    1.00,    2.65
 68,   28, 10, 1,    1.00,    3.93
 50,   56, 11, 1,    1.00,    2.10
 53,   56, 12, 1,    1.00,    3.19
 39,   56, 13, 1,    1.00,    3.06
  4,   56, 14, 1,    2.00,    4.78
 47,   56, 15, 1,    1.00,    2.37
 18, 1456, 16, 1,    1.00,    2.76
 24, 1456, 17, 1,    1.00,    2.60
 31, 1456, 18, 1,    1.00,    2.11
 22, 1456, 19, 1,    1.00,    3.08
 67, 1456, 20, 1,    1.00,    2.05
  5,    0, 21, 1,    1.00,    3.91
 55,   14,  1, 1,    1.00,   11.15
  9,   14,  2, 1,    2.00,    5.85
 66,   14,  3, 1,    2.00,    2.62
 83,   14,  4, 1,    1.00,    3.37
 49,   14,  5, 1,    2.00,    6.04
 75,   28,  6, 1,    2.00,    5.50
 58,   28,  7, 1,    1.00,    3.07
 48,   28,  8, 1,    1.00,    2.22
 15,   28,  9, 1,    2.00,    2.83
 57,   28, 10, 1,    1.00,    2.10
 76,   56, 11, 1,    1.00,    4.12
 73,   56, 12, 1,    1.00,    2.94
 23,   56, 13, 1,    2.00,    4.20
 45,   56, 14, 1,    1.00,    2.52
 38,   56, 15, 1,    1.00,    2.48
 29, 1456, 16, 1,    1.00,    2.01
 34, 1456, 17, 1,    1.00,    2.09
 46, 1456, 18, 1,    1.00,    4.44
 54, 1456, 19, 1,    1.00,    2.35
 11, 1456, 20, 1,    1.00,    3.18
 74,    0, 21, 1,    2.00,    4.09
 16,   14,  1, 1,    1.00,    3.38
 27,   14,  2, 1,    1.00,    3.36
 77,   14,  3, 1,    2.00,    4.79
 56,   14,  4, 1,    2.00,    3.98
 69,   14,  5, 1,    2.00,    2.48
 70,   28,  6, 1,    1.00,    2.57
 35,   28,  7, 1,    1.00,    2.57
 14,   28,  8, 1,    2.00,    4.96
 17,   28,  9, 1,    1.00,    5.12
 79,   28, 10, 1,    1.00,    2.46
 84,   56, 11, 1,    1.00,    2.88
 43,   56, 12, 1,    1.00,    2.51
 19,   56, 13, 1,    2.00,    7.49
  3,   56, 14, 1,    2.00,    6.77
  8,   56, 15, 1,    1.00,    4.21
 64, 1456, 16, 1,    1.00,    3.00
  2, 1456, 17, 1,    1.00,    2.11
 10, 1456, 18, 1,    1.00,    2.31
  7, 1456, 19, 1,    1.00,    2.81
 42, 1456, 20, 1,    1.00,    2.28
 51,    0, 21, 1,    2.00,    8.02
