# VP04   2013-11-07_10-29-36
# Elapsed time of measurement: 368 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 78,   14,  1, 1,    1.00,    2.48
 50,   14,  2, 1,    1.00,    4.21
 37,   14,  3, 1,    2.00,    3.33
 73,   14,  4, 1,    2.00,    7.42
 49,   14,  5, 1,    2.00,    3.13
 83,   28,  6, 1,    1.00,    2.89
  9,   28,  7, 1,    1.00,    2.87
 46,   28,  8, 1,    1.00,    2.33
 53,   28,  9, 1,    1.00,    2.26
 22,   28, 10, 1,    2.00,    3.42
 10,   56, 11, 1,    1.00,    3.19
 42,   56, 12, 1,    1.00,    2.91
 17,   56, 13, 1,    1.00,    2.99
 12,   56, 14, 1,    1.00,    2.30
 48,   56, 15, 1,    1.00,    2.67
 51, 1456, 16, 1,    1.00,   12.03
 30, 1456, 17, 1,    1.00,    6.43
 29, 1456, 18, 1,    1.00,    3.86
 62, 1456, 19, 1,    1.00,    1.99
 52, 1456, 20, 1,    2.00,    2.48
 40,    0, 21, 1,    1.00,    2.03
 71,   14,  1, 1,    1.00,    3.70
  4,   14,  2, 1,    1.00,    5.23
 70,   14,  3, 1,    1.00,    3.57
 82,   14,  4, 1,    2.00,    2.03
 31,   14,  5, 1,    2.00,    2.64
 84,   28,  6, 1,    1.00,    2.77
 45,   28,  7, 1,    1.00,    1.69
 34,   28,  8, 1,    1.00,    2.90
 79,   28,  9, 1,    1.00,    2.71
  2,   28, 10, 1,    1.00,    2.83
 74,   56, 11, 1,    1.00,    2.21
  1,   56, 12, 1,    1.00,    2.10
 32,   56, 13, 1,    1.00,    2.54
 56,   56, 14, 1,    1.00,    2.12
 67,   56, 15, 1,    1.00,   29.94
 54, 1456, 16, 1,    1.00,    8.42
 38, 1456, 17, 1,    1.00,    3.73
 43, 1456, 18, 1,    2.00,    8.42
 41, 1456, 19, 1,    1.00,    5.81
 24, 1456, 20, 1,    1.00,   11.49
 61,    0, 21, 1,    1.00,    1.81
 27,   14,  1, 1,    1.00,    1.90
 33,   14,  2, 1,    1.00,    9.20
 75,   14,  3, 1,    2.00,    3.18
 69,   14,  4, 1,    2.00,    2.69
  7,   14,  5, 1,    2.00,    3.55
 13,   28,  6, 1,    1.00,    2.87
 28,   28,  7, 1,    1.00,    2.08
 59,   28,  8, 1,    1.00,    2.55
 15,   28,  9, 1,    2.00,    8.88
 16,   28, 10, 1,    1.00,    3.66
 81,   56, 11, 1,    1.00,    2.62
 68,   56, 12, 1,    1.00,    5.34
 72,   56, 13, 1,    1.00,    5.49
 11,   56, 14, 1,    1.00,    4.72
 77,   56, 15, 1,    1.00,    8.27
 65, 1456, 16, 1,    1.00,    1.94
  5, 1456, 17, 1,    1.00,    3.50
 76, 1456, 18, 1,    1.00,    2.72
 39, 1456, 19, 1,    2.00,    3.03
 55, 1456, 20, 1,    2.00,   15.35
 36,    0, 21, 1,    1.00,    6.50
 63,   14,  1, 1,    1.00,    4.53
 80,   14,  2, 1,    1.00,    2.53
 60,   14,  3, 1,    2.00,    3.85
 26,   14,  4, 1,    2.00,    5.00
 44,   14,  5, 1,    2.00,    4.84
 47,   28,  6, 1,    1.00,    2.87
 35,   28,  7, 1,    1.00,   11.90
 19,   28,  8, 1,    1.00,    2.95
 57,   28,  9, 1,    1.00,    2.08
 18,   28, 10, 1,    2.00,    2.21
 58,   56, 11, 1,    1.00,    1.83
  8,   56, 12, 1,    1.00,    2.79
 25,   56, 13, 1,    1.00,    5.84
  6,   56, 14, 1,    1.00,    3.44
 23,   56, 15, 1,    2.00,    3.09
 14, 1456, 16, 1,    1.00,    3.44
 21, 1456, 17, 1,    1.00,    2.49
 64, 1456, 18, 1,    1.00,    2.05
 66, 1456, 19, 1,    1.00,    4.88
  3, 1456, 20, 1,    2.00,    3.69
 20,    0, 21, 1,    1.00,    2.72
