# VP06   2013-11-08_10-34-58
# Elapsed time of measurement: 341 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 76,   14,  1, 1,    1.00,    4.73
 72,   14,  2, 1,    1.00,    3.20
  5,   14,  3, 1,    1.00,    8.09
  8,   14,  4, 1,    1.00,    9.57
 11,   14,  5, 1,    1.00,    5.22
  9,   28,  6, 1,    1.00,    4.21
 26,   28,  7, 1,    1.00,    3.15
 24,   28,  8, 1,    1.00,    3.18
 34,   28,  9, 1,    1.00,    2.98
  1,   28, 10, 1,    1.00,    5.16
 79,   56, 11, 1,    1.00,    5.67
 44,   56, 12, 1,    1.00,    3.24
 32,   56, 13, 1,    1.00,    2.68
 81,   56, 14, 1,    1.00,    5.29
 10,   56, 15, 1,    1.00,    3.94
 30, 1456, 16, 1,    1.00,    2.60
 82, 1456, 17, 1,    1.00,    3.92
 31, 1456, 18, 1,    1.00,    1.97
 78, 1456, 19, 1,    1.00,    5.45
 16, 1456, 20, 1,    1.00,    3.24
 63,    0, 21, 1,    1.00,    4.93
 77,   14,  1, 1,    1.00,    3.56
 66,   14,  2, 1,    1.00,    2.56
 83,   14,  3, 1,    1.00,    3.54
 75,   14,  4, 1,    1.00,    7.49
 28,   14,  5, 1,    2.00,    4.30
 33,   28,  6, 1,    1.00,    2.30
  6,   28,  7, 1,    1.00,    3.10
 54,   28,  8, 1,    1.00,    3.00
 70,   28,  9, 1,    1.00,    4.17
 59,   28, 10, 1,    2.00,    4.95
 43,   56, 11, 1,    1.00,    2.91
 42,   56, 12, 1,    1.00,    3.33
 60,   56, 13, 1,    1.00,    3.05
 56,   56, 14, 1,    1.00,    2.89
 41,   56, 15, 1,    1.00,    2.82
 13, 1456, 16, 1,    1.00,    4.32
 29, 1456, 17, 1,    1.00,    3.02
 64, 1456, 18, 1,    2.00,    5.92
 22, 1456, 19, 1,    1.00,    3.21
  7, 1456, 20, 1,    1.00,    3.15
  3,    0, 21, 1,    2.00,    6.96
  2,   14,  1, 1,    1.00,    2.98
 69,   14,  2, 1,    1.00,    3.66
 57,   14,  3, 1,    1.00,    3.03
 50,   14,  4, 1,    2.00,    5.42
 55,   14,  5, 1,    1.00,    5.62
 71,   28,  6, 1,    1.00,    3.28
 19,   28,  7, 1,    1.00,    2.60
 46,   28,  8, 1,    1.00,    3.41
 38,   28,  9, 1,    1.00,    2.82
 35,   28, 10, 1,    2.00,    4.54
 52,   56, 11, 1,    1.00,    2.90
 80,   56, 12, 1,    1.00,    3.23
 12,   56, 13, 1,    1.00,    3.57
 73,   56, 14, 1,    2.00,    5.86
 40,   56, 15, 1,    1.00,    3.26
 65, 1456, 16, 1,    1.00,    2.95
 84, 1456, 17, 1,    1.00,    3.31
 37, 1456, 18, 1,    1.00,    2.65
 21, 1456, 19, 1,    1.00,    2.53
 62, 1456, 20, 1,    2.00,    5.21
 27,    0, 21, 1,    1.00,    4.59
 20,   14,  1, 1,    1.00,    5.46
 15,   14,  2, 1,    1.00,    2.57
  4,   14,  3, 1,    2.00,    9.14
 23,   14,  4, 1,    1.00,    7.49
 48,   14,  5, 1,    2.00,    2.80
 25,   28,  6, 1,    1.00,    2.75
 14,   28,  7, 1,    1.00,    3.29
 45,   28,  8, 1,    1.00,    3.06
 53,   28,  9, 1,    1.00,    2.64
 17,   28, 10, 1,    2.00,    4.90
 61,   56, 11, 1,    1.00,    2.97
 67,   56, 12, 1,    1.00,    3.06
 51,   56, 13, 1,    1.00,    2.55
 49,   56, 14, 1,    1.00,    3.55
 68,   56, 15, 1,    2.00,    5.32
 74, 1456, 16, 1,    1.00,    3.66
 36, 1456, 17, 1,    1.00,    3.31
 58, 1456, 18, 1,    1.00,    2.45
 39, 1456, 19, 1,    1.00,    2.75
 18, 1456, 20, 1,    1.00,    3.36
 47,    0, 21, 1,    2.00,   11.03
