# VP01   2013-10-29_19-29-10
# Elapsed time of measurement: 278 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 36,   14,  1, 1,    1.00,    2.91
 63,   14,  2, 1,    1.00,    1.74
 60,   14,  3, 1,    1.00,    2.23
 40,   14,  4, 1,    1.00,    5.14
 52,   14,  5, 1,    1.00,    2.23
 65,   28,  6, 1,    1.00,    1.93
 72,   28,  7, 1,    1.00,    3.03
 30,   28,  8, 1,    1.00,    1.48
 35,   28,  9, 1,    2.00,    3.22
 80,   28, 10, 1,    2.00,    2.30
 56,   56, 11, 1,    1.00,    3.28
 67,   56, 12, 1,    1.00,    2.00
 61,   56, 13, 1,    2.00,    2.58
  2,   56, 14, 1,    1.00,    7.39
 15,   56, 15, 1,    2.00,    4.19
 13, 1456, 16, 1,    1.00,    3.02
 47, 1456, 17, 1,    1.00,    1.60
 26, 1456, 18, 1,    1.00,    1.12
 41, 1456, 19, 1,    1.00,    2.33
 55, 1456, 20, 1,    1.00,    3.92
 70,    0, 21, 1,    1.00,    1.58
 75,   14,  1, 1,    1.00,    1.80
  9,   14,  2, 1,    1.00,    2.13
 68,   14,  3, 1,    1.00,    2.93
 83,   14,  4, 1,    2.00,    5.19
 16,   14,  5, 1,    1.00,    3.03
 50,   28,  6, 1,    1.00,    2.99
 23,   28,  7, 1,    1.00,    2.14
 77,   28,  8, 1,    2.00,    3.07
  3,   28,  9, 1,    2.00,   10.57
 46,   28, 10, 1,    2.00,    1.89
 84,   56, 11, 1,    1.00,    1.51
 27,   56, 12, 1,    1.00,    2.95
 12,   56, 13, 1,    1.00,    1.98
  5,   56, 14, 1,    1.00,    9.02
 44,   56, 15, 1,    2.00,    7.40
 81, 1456, 16, 1,    1.00,    1.92
 76, 1456, 17, 1,    1.00,    2.50
 39, 1456, 18, 1,    1.00,    3.19
 66, 1456, 19, 1,    1.00,    1.84
 19, 1456, 20, 1,    1.00,    3.90
 37,    0, 21, 1,    1.00,    2.96
 71,   14,  1, 1,    1.00,    3.01
 49,   14,  2, 1,    1.00,    1.51
 53,   14,  3, 1,    1.00,    1.54
 38,   14,  4, 1,    2.00,    5.48
 10,   14,  5, 1,    1.00,    2.94
 51,   28,  6, 1,    1.00,    1.10
 17,   28,  7, 1,    1.00,    2.81
 43,   28,  8, 1,    1.00,    1.51
 79,   28,  9, 1,    2.00,    2.13
  1,   28, 10, 1,    2.00,   18.78
 31,   56, 11, 1,    1.00,    3.38
 64,   56, 12, 1,    1.00,    2.04
 42,   56, 13, 1,    1.00,    2.80
 14,   56, 14, 1,    2.00,    4.11
  6,   56, 15, 1,    2.00,    5.12
 82, 1456, 16, 1,    1.00,    1.21
 45, 1456, 17, 1,    1.00,    2.04
 25, 1456, 18, 1,    1.00,    3.46
 29, 1456, 19, 1,    1.00,    2.11
 28, 1456, 20, 1,    2.00,    3.94
 22,    0, 21, 1,    1.00,    2.04
  4,   14,  1, 1,    1.00,    3.87
 59,   14,  2, 1,    1.00,    2.16
 33,   14,  3, 1,    1.00,    1.90
 18,   14,  4, 1,    1.00,    4.21
 48,   14,  5, 1,    1.00,    2.35
 32,   28,  6, 1,    1.00,    2.39
 58,   28,  7, 1,    2.00,    6.10
 54,   28,  8, 1,    2.00,    2.82
 11,   28,  9, 1,    2.00,    2.41
 24,   28, 10, 1,    2.00,    4.00
 69,   56, 11, 1,    1.00,    2.38
 21,   56, 12, 1,    1.00,    2.73
 62,   56, 13, 1,    1.00,    6.80
 73,   56, 14, 1,    2.00,    4.37
  7,   56, 15, 1,    2.00,    3.13
 57, 1456, 16, 1,    1.00,    2.66
  8, 1456, 17, 1,    1.00,    5.81
 78, 1456, 18, 1,    1.00,    1.89
 20, 1456, 19, 1,    1.00,    2.74
 74, 1456, 20, 1,    1.00,    2.24
 34,    0, 21, 1,    1.00,    1.87
