# VP07   2013-11-07_16-46-29
# Elapsed time of measurement: 440 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 74,   14,  1, 1,    2.00,    5.23
 87,   14,  2, 1,    1.00,    4.35
 38,   14,  3, 1,    1.00,    5.32
 61,   14,  4, 1,    2.00,    3.60
 44,   14,  5, 1,    2.00,    3.90
  4,   14,  6, 1,    1.00,    4.53
 63,   28,  7, 1,    1.00,    8.83
 36,   28,  8, 1,    2.00,    5.01
 43,   28,  9, 1,    1.00,    5.37
 80,   28, 10, 1,    1.00,    2.86
 55,   28, 11, 1,    1.00,    3.02
 45,   28, 12, 1,    2.00,    3.26
 25,   56, 13, 1,    1.00,    4.22
 50,   56, 14, 1,    1.00,    3.14
 14,   56, 15, 1,    2.00,   12.42
  3,   56, 16, 1,    1.00,    2.01
 30,   56, 17, 1,    1.00,    2.77
 98,   56, 18, 1,    1.00,    6.41
 66, 1456, 19, 1,    1.00,    3.02
 37, 1456, 20, 1,    1.00,    5.76
 27, 1456, 21, 1,    2.00,    7.25
 69, 1456, 22, 1,    1.00,    2.89
 75, 1456, 23, 1,    1.00,    2.21
 31, 1456, 24, 1,    1.00,    3.42
 97,    0, 25, 1,    2.00,    4.06
 96,   14,  1, 1,    1.00,    2.18
 73,   14,  2, 1,    1.00,    2.20
 95,   14,  3, 1,    1.00,    3.22
  2,   14,  4, 1,    2.00,    5.98
 18,   14,  5, 1,    2.00,    3.71
 16,   14,  6, 1,    1.00,    5.51
 89,   28,  7, 1,    2.00,    3.76
 21,   28,  8, 1,    1.00,    2.58
 32,   28,  9, 1,    2.00,    4.25
 46,   28, 10, 1,    1.00,    2.92
 77,   28, 11, 1,    1.00,    5.20
 56,   28, 12, 1,    1.00,    2.43
 52,   56, 13, 1,    1.00,    2.18
 15,   56, 14, 1,    1.00,    2.90
 34,   56, 15, 1,    1.00,    2.58
 65,   56, 16, 1,    2.00,    7.65
 92,   56, 17, 1,    1.00,    3.25
 79,   56, 18, 1,    1.00,    3.96
 94, 1456, 19, 1,    1.00,    2.04
 72, 1456, 20, 1,    1.00,    3.62
 54, 1456, 21, 1,    1.00,    5.10
 17, 1456, 22, 1,    1.00,    2.97
  6, 1456, 23, 1,    1.00,    2.33
 26, 1456, 24, 1,    1.00,    2.39
 24,    0, 25, 1,    1.00,    3.28
100,   14,  1, 1,    2.00,    6.65
 84,   14,  2, 1,    1.00,    5.26
 76,   14,  3, 1,    1.00,    2.40
 11,   14,  4, 1,    2.00,    5.24
 29,   14,  5, 1,    2.00,    3.14
  8,   14,  6, 1,    1.00,    9.86
 68,   28,  7, 1,    2.00,    4.40
 83,   28,  8, 1,    2.00,    6.15
 99,   28,  9, 1,    1.00,    3.34
 88,   28, 10, 1,    1.00,    4.01
 71,   28, 11, 1,    1.00,    3.45
 78,   28, 12, 1,    1.00,    2.15
  9,   56, 13, 1,    1.00,    1.79
 57,   56, 14, 1,    2.00,   10.50
 35,   56, 15, 1,    1.00,    7.01
 90,   56, 16, 1,    1.00,    4.59
 28,   56, 17, 1,    1.00,    2.85
 93,   56, 18, 1,    2.00,    9.56
 48, 1456, 19, 1,    1.00,    2.31
 60, 1456, 20, 1,    1.00,    3.41
 51, 1456, 21, 1,    2.00,    4.79
 67, 1456, 22, 1,    1.00,    2.27
 40, 1456, 23, 1,    1.00,    5.02
 22, 1456, 24, 1,    1.00,    2.82
 82,    0, 25, 1,    1.00,    9.34
 64,   14,  1, 1,    1.00,    5.41
 33,   14,  2, 1,    1.00,    2.65
 42,   14,  3, 1,    1.00,    8.17
 47,   14,  4, 1,    2.00,    9.03
  7,   14,  5, 1,    2.00,    4.15
 39,   14,  6, 1,    2.00,    5.48
 53,   28,  7, 1,    1.00,    3.40
 70,   28,  8, 1,    1.00,    5.34
 12,   28,  9, 1,    1.00,    2.10
 20,   28, 10, 1,    1.00,    2.65
 59,   28, 11, 1,    1.00,    2.83
 41,   28, 12, 1,    1.00,    2.59
 10,   56, 13, 1,    1.00,    3.28
 62,   56, 14, 1,    2.00,    3.64
 19,   56, 15, 1,    1.00,    2.72
 49,   56, 16, 1,    1.00,    4.01
  1,   56, 17, 1,    1.00,    4.49
 86,   56, 18, 1,    1.00,    4.16
 13, 1456, 19, 1,    1.00,    2.19
  5, 1456, 20, 1,    1.00,    1.83
 58, 1456, 21, 1,    1.00,    2.81
 91, 1456, 22, 1,    1.00,    3.23
 85, 1456, 23, 1,    1.00,    8.53
 81, 1456, 24, 1,    1.00,   11.47
 23,    0, 25, 1,    1.00,    4.43
