# VP03   2013-11-06_16-34-53
# Elapsed time of measurement: 245 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 85,   14,  1, 1,    1.00,    2.06
 72,   14,  2, 1,    1.00,    1.91
 96,   14,  3, 1,    1.00,    2.54
 50,   14,  4, 1,    2.00,    5.40
 14,   14,  5, 1,    2.00,    4.56
 10,   14,  6, 1,    2.00,    4.31
 27,   28,  7, 1,    1.00,    2.18
 95,   28,  8, 1,    1.00,    1.33
 99,   28,  9, 1,    1.00,    1.34
  9,   28, 10, 1,    1.00,    1.89
 37,   28, 11, 1,    1.00,    1.68
 56,   28, 12, 1,    1.00,    5.87
  3,   56, 13, 1,    1.00,    1.33
 35,   56, 14, 1,    1.00,    1.50
 17,   56, 15, 1,    1.00,    1.58
 81,   56, 16, 1,    1.00,    2.77
 31,   56, 17, 1,    1.00,    1.93
 55,   56, 18, 1,    1.00,    1.93
 18, 1456, 19, 1,    1.00,    1.81
 21, 1456, 20, 1,    1.00,    1.90
  1, 1456, 21, 1,    1.00,    2.74
 11, 1456, 22, 1,    1.00,    2.02
 80, 1456, 23, 1,    1.00,    2.61
 58, 1456, 24, 1,    1.00,    1.81
 65,    0, 25, 1,    1.00,    1.74
  4,   14,  1, 1,    1.00,    1.70
 49,   14,  2, 1,    1.00,    1.67
 15,   14,  3, 1,    1.00,    1.72
 30,   14,  4, 1,    2.00,    4.30
 43,   14,  5, 1,    1.00,    3.90
 54,   14,  6, 1,    1.00,    3.74
100,   28,  7, 1,    1.00,    1.17
 63,   28,  8, 1,    1.00,    3.31
  6,   28,  9, 1,    1.00,    2.73
 60,   28, 10, 1,    1.00,    1.54
 92,   28, 11, 1,    1.00,    2.01
 38,   28, 12, 1,    1.00,    1.37
 47,   56, 13, 1,    1.00,    2.86
 33,   56, 14, 1,    1.00,    1.57
 83,   56, 15, 1,    1.00,    1.48
 62,   56, 16, 1,    1.00,    1.92
 73,   56, 17, 1,    1.00,    2.05
 48,   56, 18, 1,    1.00,    1.81
 28, 1456, 19, 1,    1.00,    1.61
  7, 1456, 20, 1,    1.00,    1.40
 70, 1456, 21, 1,    1.00,    1.52
 93, 1456, 22, 1,    1.00,    1.62
 16, 1456, 23, 1,    1.00,    1.83
 71, 1456, 24, 1,    1.00,    1.91
 67,    0, 25, 1,    1.00,    1.84
 36,   14,  1, 1,    1.00,    1.58
 69,   14,  2, 1,    1.00,    1.96
 12,   14,  3, 1,    1.00,    1.98
 52,   14,  4, 1,    2.00,    2.73
 88,   14,  5, 1,    2.00,    2.62
 87,   14,  6, 1,    2.00,    9.04
 19,   28,  7, 1,    1.00,    1.33
 90,   28,  8, 1,    1.00,    1.79
 25,   28,  9, 1,    1.00,    1.89
 77,   28, 10, 1,    1.00,    2.19
 61,   28, 11, 1,    1.00,    1.89
 24,   28, 12, 1,    1.00,    2.16
 84,   56, 13, 1,    1.00,    2.19
 13,   56, 14, 1,    1.00,    1.61
 51,   56, 15, 1,    1.00,    3.17
  8,   56, 16, 1,    1.00,    1.96
 44,   56, 17, 1,    1.00,    1.99
 26,   56, 18, 1,    1.00,    1.90
 32, 1456, 19, 1,    1.00,    1.63
 68, 1456, 20, 1,    1.00,    1.81
 64, 1456, 21, 1,    1.00,    1.96
 89, 1456, 22, 1,    1.00,    3.75
 39, 1456, 23, 1,    1.00,    1.89
 91, 1456, 24, 1,    1.00,    1.87
 78,    0, 25, 1,    1.00,    2.29
 59,   14,  1, 1,    1.00,    1.92
 79,   14,  2, 1,    1.00,    2.64
 45,   14,  3, 1,    1.00,    2.07
 82,   14,  4, 1,    2.00,    3.60
 97,   14,  5, 1,    2.00,    6.43
 75,   14,  6, 1,    2.00,    5.17
  2,   28,  7, 1,    1.00,    3.00
 98,   28,  8, 1,    1.00,    1.56
 86,   28,  9, 1,    1.00,    2.08
 29,   28, 10, 1,    1.00,    2.29
 22,   28, 11, 1,    1.00,    2.03
 42,   28, 12, 1,    1.00,    1.88
 40,   56, 13, 1,    1.00,    1.81
 74,   56, 14, 1,    1.00,    1.64
 41,   56, 15, 1,    1.00,    1.42
 94,   56, 16, 1,    1.00,    1.65
 57,   56, 17, 1,    1.00,    2.09
 23,   56, 18, 1,    1.00,    8.04
 20, 1456, 19, 1,    1.00,    1.68
  5, 1456, 20, 1,    1.00,    2.92
 34, 1456, 21, 1,    1.00,    1.82
 76, 1456, 22, 1,    1.00,    1.95
 53, 1456, 23, 1,    1.00,    2.18
 66, 1456, 24, 1,    1.00,    2.20
 46,    0, 25, 1,    1.00,    1.33
