# VP07   2013-11-08_09-57-12
# Elapsed time of measurement: 321 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 18,   14,  1, 1,    1.00,    2.04
 46,   14,  2, 1,    2.00,    3.58
 79,   14,  3, 1,    2.00,    5.20
 59,   14,  4, 1,    2.00,    6.02
 66,   14,  5, 1,    2.00,    4.61
 54,   28,  6, 1,    2.00,    6.24
 41,   28,  7, 1,    1.00,    2.85
 37,   28,  8, 1,    1.00,    2.51
  7,   28,  9, 1,    1.00,    2.44
 47,   28, 10, 1,    2.00,    4.58
 24,   56, 11, 1,    1.00,    2.31
  3,   56, 12, 1,    1.00,    2.43
  2,   56, 13, 1,    2.00,    7.40
 31,   56, 14, 1,    1.00,    2.57
 39,   56, 15, 1,    1.00,    2.05
 52, 1456, 16, 1,    1.00,    7.53
 34, 1456, 17, 1,    1.00,    3.90
 17, 1456, 18, 1,    2.00,    4.76
 30, 1456, 19, 1,    1.00,    1.88
 82, 1456, 20, 1,    1.00,    2.46
 77,    0, 21, 1,    1.00,    2.84
  1,   14,  1, 1,    1.00,    2.40
 69,   14,  2, 1,    1.00,    2.87
 76,   14,  3, 1,    2.00,   10.09
 73,   14,  4, 1,    2.00,    3.43
 26,   14,  5, 1,    2.00,    6.86
  9,   28,  6, 1,    1.00,    3.31
 10,   28,  7, 1,    1.00,    3.02
 78,   28,  8, 1,    1.00,    3.56
 56,   28,  9, 1,    1.00,    1.80
 62,   28, 10, 1,    2.00,    5.09
 83,   56, 11, 1,    1.00,    6.61
 32,   56, 12, 1,    1.00,    2.26
 29,   56, 13, 1,    2.00,   17.79
 71,   56, 14, 1,    1.00,    1.92
  6,   56, 15, 1,    1.00,    4.78
 15, 1456, 16, 1,    1.00,    2.68
 11, 1456, 17, 1,    1.00,    2.04
 14, 1456, 18, 1,    1.00,    3.35
 84, 1456, 19, 1,    2.00,    3.78
 68, 1456, 20, 1,    1.00,    2.18
 13,    0, 21, 1,    1.00,    3.13
 45,   14,  1, 1,    1.00,    2.35
 63,   14,  2, 1,    1.00,    2.26
 33,   14,  3, 1,    2.00,    4.16
 57,   14,  4, 1,    2.00,    6.99
 48,   14,  5, 1,    2.00,    4.30
  8,   28,  6, 1,    1.00,    2.81
 19,   28,  7, 1,    1.00,    2.14
 53,   28,  8, 1,    1.00,    3.50
 49,   28,  9, 1,    1.00,    2.37
 44,   28, 10, 1,    1.00,    2.09
 25,   56, 11, 1,    1.00,    1.90
 80,   56, 12, 1,    1.00,    1.76
  5,   56, 13, 1,    1.00,    2.41
 60,   56, 14, 1,    1.00,    2.06
 36,   56, 15, 1,    1.00,    3.54
 27, 1456, 16, 1,    1.00,    2.02
 12, 1456, 17, 1,    1.00,    2.16
 22, 1456, 18, 1,    1.00,    5.51
 58, 1456, 19, 1,    1.00,    2.09
 28, 1456, 20, 1,    1.00,    2.29
 42,    0, 21, 1,    1.00,    3.04
 72,   14,  1, 1,    1.00,    2.00
 55,   14,  2, 1,    1.00,    4.05
 64,   14,  3, 1,    1.00,    2.63
 70,   14,  4, 1,    2.00,    3.37
 35,   14,  5, 1,    2.00,   11.76
  4,   28,  6, 1,    1.00,    2.55
 20,   28,  7, 1,    1.00,    2.29
 51,   28,  8, 1,    2.00,    5.86
 75,   28,  9, 1,    1.00,    8.53
 67,   28, 10, 1,    1.00,    2.42
 43,   56, 11, 1,    1.00,    1.84
 40,   56, 12, 1,    1.00,    2.19
 23,   56, 13, 1,    2.00,    3.04
 81,   56, 14, 1,    1.00,    2.04
 50,   56, 15, 1,    2.00,   11.42
 61, 1456, 16, 1,    1.00,    2.46
 65, 1456, 17, 1,    1.00,    2.14
 21, 1456, 18, 1,    1.00,    3.66
 74, 1456, 19, 1,    1.00,    1.99
 38, 1456, 20, 1,    1.00,    2.01
 16,    0, 21, 1,    1.00,    3.08
