# VP03   2013-11-06_16-43-40
# Elapsed time of measurement: 158 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 59,   14,  1, 1,    1.00,    1.40
 24,   14,  2, 1,    1.00,    2.65
 11,   14,  3, 1,    1.00,    1.98
 15,   14,  4, 1,    2.00,    4.74
 53,   14,  5, 1,    2.00,    1.60
 56,   28,  6, 1,    1.00,    1.23
 71,   28,  7, 1,    1.00,    1.32
 39,   28,  8, 1,    1.00,    1.60
 29,   28,  9, 1,    1.00,    1.35
 80,   28, 10, 1,    1.00,    1.17
 27,   56, 11, 1,    1.00,    1.53
 19,   56, 12, 1,    1.00,    1.31
 54,   56, 13, 1,    1.00,    1.61
 79,   56, 14, 1,    1.00,    1.21
  3,   56, 15, 1,    1.00,    4.49
 36, 1456, 16, 1,    1.00,    1.14
 46, 1456, 17, 1,    1.00,    1.40
 49, 1456, 18, 1,    1.00,    1.34
 28, 1456, 19, 1,    1.00,    1.47
 22, 1456, 20, 1,    1.00,    3.07
 77,    0, 21, 1,    1.00,    1.08
 16,   14,  1, 1,    1.00,    1.95
 47,   14,  2, 1,    1.00,    1.60
 10,   14,  3, 1,    1.00,    2.06
 55,   14,  4, 1,    2.00,    2.18
  8,   14,  5, 1,    2.00,    3.00
 73,   28,  6, 1,    1.00,    1.38
 51,   28,  7, 1,    1.00,    1.72
  5,   28,  8, 1,    1.00,    3.16
 31,   28,  9, 1,    1.00,    1.21
 66,   28, 10, 1,    1.00,    1.43
 61,   56, 11, 1,    1.00,    1.24
 75,   56, 12, 1,    1.00,    1.13
 83,   56, 13, 1,    1.00,    1.11
 17,   56, 14, 1,    1.00,    3.05
 68,   56, 15, 1,    1.00,    1.32
 70, 1456, 16, 1,    1.00,    1.32
 40, 1456, 17, 1,    1.00,    1.30
 21, 1456, 18, 1,    1.00,    2.28
 72, 1456, 19, 1,    1.00,    1.38
  4, 1456, 20, 1,    1.00,    4.29
 50,    0, 21, 1,    1.00,    1.34
 60,   14,  1, 1,    1.00,    1.18
 30,   14,  2, 1,    1.00,    1.44
 57,   14,  3, 1,    1.00,    1.71
 18,   14,  4, 1,    2.00,    4.87
 26,   14,  5, 1,    2.00,    3.51
 64,   28,  6, 1,    1.00,    1.32
 12,   28,  7, 1,    1.00,    1.78
 41,   28,  8, 1,    1.00,    1.20
 25,   28,  9, 1,    1.00,    1.88
 58,   28, 10, 1,    1.00,    1.52
  1,   56, 11, 1,    1.00,    2.31
 20,   56, 12, 1,    1.00,    1.91
 43,   56, 13, 1,    1.00,    1.23
 76,   56, 14, 1,    1.00,    1.12
 34,   56, 15, 1,    1.00,    1.23
 63, 1456, 16, 1,    1.00,    1.26
 32, 1456, 17, 1,    1.00,    1.38
 67, 1456, 18, 1,    1.00,    1.61
 44, 1456, 19, 1,    1.00,    1.39
 33, 1456, 20, 1,    1.00,    1.30
 82,    0, 21, 1,    1.00,    1.19
 81,   14,  1, 1,    1.00,    0.99
 35,   14,  2, 1,    1.00,    1.28
 78,   14,  3, 1,    1.00,    1.18
 38,   14,  4, 1,    2.00,    2.27
 52,   14,  5, 1,    2.00,    1.93
 84,   28,  6, 1,    1.00,    1.11
 48,   28,  7, 1,    1.00,    1.38
 37,   28,  8, 1,    1.00,    1.14
 23,   28,  9, 1,    1.00,    2.99
  7,   28, 10, 1,    1.00,    3.28
  2,   56, 11, 1,    1.00,    3.08
 42,   56, 12, 1,    1.00,    1.20
 14,   56, 13, 1,    1.00,    2.20
 13,   56, 14, 1,    1.00,    1.67
  6,   56, 15, 1,    1.00,    5.53
 65, 1456, 16, 1,    1.00,    1.18
 69, 1456, 17, 1,    1.00,    1.14
 45, 1456, 18, 1,    1.00,    1.40
  9, 1456, 19, 1,    1.00,    2.33
 62, 1456, 20, 1,    1.00,    1.43
 74,    0, 21, 1,    1.00,    1.21
