# VP06   2013-11-07_17-41-16
# Elapsed time of measurement: 469 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
  5,   14,  1, 1,    1.00,    4.83
 82,   14,  2, 1,    1.00,    5.81
 96,   14,  3, 1,    1.00,    4.04
 84,   14,  4, 1,    2.00,    4.05
 99,   14,  5, 1,    2.00,    4.55
 50,   14,  6, 1,    2.00,    3.89
 65,   28,  7, 1,    1.00,    5.67
  4,   28,  8, 1,    2.00,    6.56
 57,   28,  9, 1,    1.00,    6.46
 73,   28, 10, 1,    1.00,    6.07
 90,   28, 11, 1,    2.00,    4.41
 49,   28, 12, 1,    2.00,    2.95
 51,   56, 13, 1,    1.00,    5.82
 67,   56, 14, 1,    1.00,    3.06
 47,   56, 15, 1,    2.00,    2.97
 85,   56, 16, 1,    1.00,    4.06
 20,   56, 17, 1,    1.00,    4.29
 88,   56, 18, 1,    2.00,    4.69
 21, 1456, 19, 1,    1.00,    4.18
  6, 1456, 20, 1,    1.00,    3.63
 66, 1456, 21, 1,    1.00,    3.53
 76, 1456, 22, 1,    1.00,    3.75
 29, 1456, 23, 1,    1.00,    5.25
 89, 1456, 24, 1,    1.00,    3.10
 22,    0, 25, 1,    2.00,    5.95
 43,   14,  1, 1,    1.00,    5.28
 59,   14,  2, 1,    1.00,    3.59
 14,   14,  3, 1,    1.00,    4.10
 28,   14,  4, 1,    1.00,    5.00
 40,   14,  5, 1,    1.00,    5.54
 25,   14,  6, 1,    1.00,    6.02
  3,   28,  7, 1,    1.00,    4.02
 34,   28,  8, 1,    1.00,    7.24
 83,   28,  9, 1,    1.00,    5.26
 72,   28, 10, 1,    1.00,    4.02
 39,   28, 11, 1,    2.00,    3.47
  1,   28, 12, 1,    2.00,    3.28
 32,   56, 13, 1,    1.00,    3.59
 94,   56, 14, 1,    2.00,    6.62
 68,   56, 15, 1,    1.00,    5.36
 70,   56, 16, 1,    1.00,    3.35
 44,   56, 17, 1,    1.00,    5.14
 19,   56, 18, 1,    1.00,    5.58
 41, 1456, 19, 1,    1.00,    4.23
 55, 1456, 20, 1,    1.00,    6.06
 92, 1456, 21, 1,    1.00,    5.27
 60, 1456, 22, 1,    1.00,    3.13
 98, 1456, 23, 1,    1.00,    5.45
 38, 1456, 24, 1,    2.00,    3.95
 46,    0, 25, 1,    1.00,    8.91
 86,   14,  1, 1,    1.00,    4.29
 17,   14,  2, 1,    1.00,    4.40
 35,   14,  3, 1,    1.00,    3.78
 52,   14,  4, 1,    1.00,    4.60
 95,   14,  5, 1,    1.00,    3.06
 62,   14,  6, 1,    2.00,    4.67
 37,   28,  7, 1,    1.00,    3.00
 81,   28,  8, 1,    1.00,    5.57
 87,   28,  9, 1,    1.00,    5.28
 11,   28, 10, 1,    1.00,    3.56
 10,   28, 11, 1,    2.00,    3.60
 16,   28, 12, 1,    2.00,    3.14
 58,   56, 13, 1,    1.00,    4.05
 24,   56, 14, 1,    2.00,    3.43
 78,   56, 15, 1,    1.00,    9.04
 64,   56, 16, 1,    1.00,    3.59
 12,   56, 17, 1,    1.00,    3.43
 33,   56, 18, 1,    1.00,    3.60
 93, 1456, 19, 1,    1.00,    3.13
100, 1456, 20, 1,    1.00,    3.68
 61, 1456, 21, 1,    1.00,    4.64
  2, 1456, 22, 1,    1.00,    3.41
 53, 1456, 23, 1,    1.00,    3.98
 77, 1456, 24, 1,    1.00,    3.22
 23,    0, 25, 1,    1.00,    3.77
 26,   14,  1, 1,    1.00,    6.75
 74,   14,  2, 1,    1.00,    5.97
 91,   14,  3, 1,    1.00,    4.21
 80,   14,  4, 1,    2.00,    3.36
 18,   14,  5, 1,    2.00,    6.00
 54,   14,  6, 1,    1.00,    5.47
 36,   28,  7, 1,    1.00,    4.26
 97,   28,  8, 1,    1.00,    4.52
 15,   28,  9, 1,    1.00,    8.86
 71,   28, 10, 1,    1.00,    4.11
 30,   28, 11, 1,    1.00,    5.12
  8,   28, 12, 1,    2.00,    2.74
 75,   56, 13, 1,    1.00,   10.24
 42,   56, 14, 1,    1.00,    3.86
 31,   56, 15, 1,    1.00,    4.37
  9,   56, 16, 1,    2.00,    7.52
 27,   56, 17, 1,    1.00,    4.44
 63,   56, 18, 1,    1.00,    4.12
 45, 1456, 19, 1,    1.00,    3.82
  7, 1456, 20, 1,    1.00,    3.62
 56, 1456, 21, 1,    1.00,    3.73
 13, 1456, 22, 1,    1.00,    3.21
 48, 1456, 23, 1,    1.00,    3.89
 69, 1456, 24, 1,    1.00,    3.11
 79,    0, 25, 1,    1.00,    6.81
