# VP07   2013-11-07_16-54-30
# Elapsed time of measurement: 371 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 21,   14,  1, 1,    2.00,    5.32
 68,   14,  2, 1,    1.00,    2.30
 84,   14,  3, 1,    1.00,    7.16
 73,   14,  4, 1,    2.00,    7.67
 65,   14,  5, 1,    2.00,    7.83
 12,   28,  6, 1,    1.00,    2.50
 61,   28,  7, 1,    1.00,    3.15
 79,   28,  8, 1,    1.00,    5.98
 83,   28,  9, 1,    1.00,    3.14
 28,   28, 10, 1,    1.00,   10.80
 64,   56, 11, 1,    1.00,    8.24
 29,   56, 12, 1,    2.00,    4.47
 32,   56, 13, 1,    1.00,    3.24
  3,   56, 14, 1,    1.00,    2.86
 41,   56, 15, 1,    2.00,    4.77
 80, 1456, 16, 1,    1.00,    3.51
 24, 1456, 17, 1,    1.00,    9.39
 58, 1456, 18, 1,    1.00,    2.89
 19, 1456, 19, 1,    1.00,    5.86
 27, 1456, 20, 1,    1.00,    6.47
  6,    0, 21, 1,    1.00,    7.07
 74,   14,  1, 1,    1.00,    2.68
 46,   14,  2, 1,    2.00,    3.25
 35,   14,  3, 1,    1.00,    3.19
 57,   14,  4, 1,    2.00,    5.56
 66,   14,  5, 1,    2.00,    3.19
 49,   28,  6, 1,    1.00,    3.44
 82,   28,  7, 1,    1.00,    2.30
 53,   28,  8, 1,    1.00,    3.17
 77,   28,  9, 1,    1.00,    3.31
 14,   28, 10, 1,    1.00,    5.48
 60,   56, 11, 1,    2.00,    5.16
 20,   56, 12, 1,    1.00,    3.18
 70,   56, 13, 1,    1.00,    2.49
 47,   56, 14, 1,    1.00,    2.30
 52,   56, 15, 1,    1.00,    3.75
 75, 1456, 16, 1,    1.00,    2.09
  1, 1456, 17, 1,    1.00,    3.26
 54, 1456, 18, 1,    1.00,    3.10
 13, 1456, 19, 1,    1.00,    2.25
 78, 1456, 20, 1,    1.00,    3.02
 59,    0, 21, 1,    1.00,    4.45
 38,   14,  1, 1,    2.00,    4.67
 33,   14,  2, 1,    2.00,    5.76
 56,   14,  3, 1,    2.00,    2.99
 30,   14,  4, 1,    2.00,    5.86
 76,   14,  5, 1,    2.00,    5.64
 25,   28,  6, 1,    1.00,    4.28
  2,   28,  7, 1,    1.00,    2.77
 72,   28,  8, 1,    2.00,    2.54
 40,   28,  9, 1,    2.00,    7.38
  8,   28, 10, 1,    2.00,    4.38
 26,   56, 11, 1,    1.00,    3.66
 23,   56, 12, 1,    1.00,    2.39
 71,   56, 13, 1,    1.00,    7.44
 36,   56, 14, 1,    1.00,    1.99
 37,   56, 15, 1,    1.00,    3.29
 48, 1456, 16, 1,    1.00,    2.54
 62, 1456, 17, 1,    1.00,    3.77
 67, 1456, 18, 1,    1.00,    2.34
 63, 1456, 19, 1,    1.00,    2.45
 31, 1456, 20, 1,    1.00,    2.65
 18,    0, 21, 1,    1.00,    3.28
 50,   14,  1, 1,    1.00,   11.33
 45,   14,  2, 1,    2.00,    3.41
 11,   14,  3, 1,    1.00,    2.29
  9,   14,  4, 1,    2.00,    6.15
 16,   14,  5, 1,    2.00,    5.46
  5,   28,  6, 1,    1.00,    3.38
 15,   28,  7, 1,    2.00,    3.70
 17,   28,  8, 1,    1.00,    2.22
 69,   28,  9, 1,    1.00,    2.50
  4,   28, 10, 1,    1.00,    3.10
 81,   56, 11, 1,    1.00,    2.96
 43,   56, 12, 1,    2.00,   11.40
  7,   56, 13, 1,    1.00,    3.05
 51,   56, 14, 1,    1.00,    7.74
 10,   56, 15, 1,    2.00,    3.09
 44, 1456, 16, 1,    1.00,    2.70
 34, 1456, 17, 1,    1.00,    4.88
 55, 1456, 18, 1,    1.00,    1.96
 22, 1456, 19, 1,    1.00,    2.79
 42, 1456, 20, 1,    1.00,    3.96
 39,    0, 21, 1,    1.00,    3.22
