# VP04   2013-11-07_10-36-18
# Elapsed time of measurement: 298 s
# Localization experiment - number of sources
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, number_of_sources, elapsed_time
 52,   14,  1, 1,    2.00,    2.92
 76,   14,  2, 1,    1.00,    1.85
 20,   14,  3, 1,    1.00,    1.82
 72,   14,  4, 1,    2.00,    5.40
  7,   14,  5, 1,    2.00,    2.66
 59,   28,  6, 1,    1.00,    3.64
 16,   28,  7, 1,    1.00,    2.25
 55,   28,  8, 1,    1.00,   21.30
 54,   28,  9, 1,    1.00,    3.04
 84,   28, 10, 1,    1.00,    3.13
  9,   56, 11, 1,    1.00,    1.78
 45,   56, 12, 1,    1.00,    2.62
 64,   56, 13, 1,    2.00,    7.43
 34,   56, 14, 1,    1.00,    2.14
 39,   56, 15, 1,    1.00,    2.33
 36, 1456, 16, 1,    1.00,    5.44
 29, 1456, 17, 1,    1.00,    2.73
 15, 1456, 18, 1,    1.00,    2.22
 79, 1456, 19, 1,    2.00,    2.65
 32, 1456, 20, 1,    2.00,   11.35
 51,    0, 21, 1,    1.00,    7.57
 13,   14,  1, 1,    1.00,    1.93
 21,   14,  2, 1,    1.00,    1.90
 22,   14,  3, 1,    2.00,    3.82
  2,   14,  4, 1,    2.00,    2.33
 30,   14,  5, 1,    2.00,    2.08
  8,   28,  6, 1,    1.00,    2.21
 47,   28,  7, 1,    1.00,    2.61
 11,   28,  8, 1,    1.00,    1.98
 58,   28,  9, 1,    1.00,    1.89
 18,   28, 10, 1,    1.00,    2.35
 70,   56, 11, 1,    1.00,    1.93
 23,   56, 12, 1,    1.00,    2.10
 56,   56, 13, 1,    1.00,    2.14
 19,   56, 14, 1,    1.00,    3.07
 77,   56, 15, 1,    1.00,    2.13
  6, 1456, 16, 1,    1.00,    2.64
 17, 1456, 17, 1,    2.00,    6.42
 40, 1456, 18, 1,    1.00,    2.13
 31, 1456, 19, 1,    1.00,    3.86
 35, 1456, 20, 1,    1.00,    3.53
 28,    0, 21, 1,    1.00,    1.83
 42,   14,  1, 1,    1.00,    1.97
  1,   14,  2, 1,    1.00,    5.89
 14,   14,  3, 1,    2.00,    1.95
 81,   14,  4, 1,    1.00,    3.21
 75,   14,  5, 1,    2.00,    2.09
 33,   28,  6, 1,    1.00,    1.87
 57,   28,  7, 1,    1.00,    2.20
 61,   28,  8, 1,    2.00,    3.82
 67,   28,  9, 1,    1.00,   17.48
 80,   28, 10, 1,    1.00,    2.10
 41,   56, 11, 1,    1.00,    3.19
 66,   56, 12, 1,    1.00,    7.10
 12,   56, 13, 1,    1.00,    1.96
 83,   56, 14, 1,    1.00,    2.96
 43,   56, 15, 1,    1.00,    4.47
 25, 1456, 16, 1,    2.00,    2.26
 37, 1456, 17, 1,    1.00,    2.33
 65, 1456, 18, 1,    1.00,    2.20
 24, 1456, 19, 1,    1.00,    2.34
 48, 1456, 20, 1,    2.00,    4.43
 60,    0, 21, 1,    1.00,    3.90
 74,   14,  1, 1,    1.00,    2.30
  5,   14,  2, 1,    2.00,    2.33
 69,   14,  3, 1,    2.00,    2.13
 62,   14,  4, 1,    2.00,    4.38
 38,   14,  5, 1,    2.00,    1.78
 50,   28,  6, 1,    1.00,    2.64
 82,   28,  7, 1,    1.00,    2.98
 10,   28,  8, 1,    1.00,    1.91
 44,   28,  9, 1,    1.00,    3.22
 27,   28, 10, 1,    1.00,    3.93
 46,   56, 11, 1,    1.00,    3.40
 68,   56, 12, 1,    1.00,    3.50
 49,   56, 13, 1,    1.00,    2.80
  4,   56, 14, 1,    2.00,    3.57
  3,   56, 15, 1,    1.00,    1.73
 73, 1456, 16, 1,    1.00,    1.78
 53, 1456, 17, 1,    1.00,    6.81
 26, 1456, 18, 1,    1.00,    4.04
 78, 1456, 19, 1,    2.00,    2.47
 71, 1456, 20, 1,    2.00,    2.55
 63,    0, 21, 1,    1.00,    1.98
